role_id,instruction,form,role,width,evidence,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,outside_behavior
n3_mov.compact4.source.h16,n3_mov,compact4,source,16,EXP-0174;EXP-0230,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,Source S=64..127 aliases r[S mod 64]; every code executes.
n3_mov.compact4.destination.h16,n3_mov,compact4,destination,16,EXP-0174,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,Four-bit destination nibble cannot encode r16+.
falu2.6B.sourceA.b32,falu2,6B-gpr,sourceA,32,EXP-0220,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,High descriptor values alias the low 64 rather than select physical r64+.
falu2.6B.sourceB.b32,falu2,6B-gpr,sourceB,32,EXP-0220,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,High descriptor values alias the low 64 rather than select physical r64+.
falu2.6B.destination.b32,falu2,6B-gpr,destination,32,EXP-0220,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,Four-bit destination field cannot encode r16+.
falu3.8B.sourceA.b32,falu3,8B-canonical-fma,sourceA,32,EXP-0224;EXP-0236,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,"For an ordinary materialized GPR, encoded register numbers 64..127 alias r0..r63 respectively. EXP-0224's mixed adjacent-load result is a separate pending-producer class, not materialized-GPR reach."
falu3.8B.sourceB.b32,falu3,8B-canonical-fma,sourceB,32,EXP-0224;EXP-0236,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,"For an ordinary materialized GPR, encoded register numbers 64..127 alias r0..r63 respectively. EXP-0224's mixed adjacent-load result is a separate pending-producer class, not materialized-GPR reach."
falu3.8B.sourceC.b32,falu3,8B-canonical-fma,sourceC,32,EXP-0224;EXP-0236,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,"For an ordinary materialized GPR, encoded register numbers 64..127 alias r0..r63 respectively. EXP-0224's mixed adjacent-load result is a separate pending-producer class, not materialized-GPR reach."
falu3.8B.destination.b32,falu3,8B-canonical-fma,destination,32,EXP-0224;EXP-0236,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,The four-bit destination nibble has no encoding for physical r16+.
iadd2.10B.source0.b32,iadd2,10B-register,source0,32,EXP-0222;EXP-0232,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,The canonical seven-bit reg<<2 selector cannot represent r32+. Alternate extension/control forms remain unknown.
