
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at104e04000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu1006f4000_sz10000.hex ===
  +0x0000: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0040: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0044: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x0080: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x00c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0100: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0140: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0180: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x01c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0200: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0280: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x02c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0300: 0x00000000 -> 0x0000fcc0   (A 0  B 64704)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu104e0c000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu100578000_sz10000.hex ===
  +0x047c: 0x83248b39 -> 0x0f3e0109   (A 2200210233  B 255721737)
  +0x0480: 0x01090800 -> 0x0b190880   (A 17369088  B 186189952)
  +0x0484: 0x08800f3e -> 0x04970b3a   (A 142610238  B 77007674)
  +0x0488: 0x0b3a0719 -> 0x00020554   (A 188352281  B 132436)
  +0x048c: 0x05540497 -> 0xc245d008   (A 89392279  B 3259355144)
  +0x0490: 0xd0080002 -> 0x04540287   (A 3490185218  B 72614535)
  +0x0494: 0x0287c245 -> 0x06e70008   (A 42451525  B 115802120)
  +0x0498: 0x00080454 -> 0x00000454   (A 525396  B 1108)
  +0x049c: 0x045406e7 -> 0x00004e01   (A 72615655  B 19969)
  +0x04a0: 0x4e010000 -> 0x02070000   (A 1308688384  B 34013184)
  +0x04a4: 0x00000000 -> 0x00020c54   (A 0  B 134228)
  +0x04a8: 0x0c540207 -> 0x0000000e   (A 206832135  B 14)
  +0x04ac: 0x000e0002 -> 0x00000000   (A 917506  B 0)

[27 differing words across 38 paired BO(s)]
