
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at100984000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu10279c000_sz10000.hex ===
  +0x0000: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0040: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0044: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x0080: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x00c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0100: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0140: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0180: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x01c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0200: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0280: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x02c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0300: 0x00000000 -> 0x0000fcc0   (A 0  B 64704)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu100da8000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu107588000_sz8000.hex ===
  +0x0038: 0x00000f00 -> 0x06000f00   (A 3840  B 100667136)
  +0x0040: 0x00000f00 -> 0x06000f00   (A 3840  B 100667136)

[16 differing words across 38 paired BO(s)]
