
=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu104e0c000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu100de8000_sz10000.hex ===
  +0x03cc: 0x00540e67 -> 0x04540e67   (A 5508711  B 72617575)
  +0x03d8: 0x0254052f -> 0x0054052f   (A 39060783  B 5506351)
  +0x03e4: 0x04020e54 -> 0x00020a54   (A 67243604  B 133716)
  +0x03ec: 0x0c54052f -> 0x0e54052f   (A 206832943  B 240387375)
  +0x03f8: 0x00010456 -> 0x08010056   (A 66646  B 134283350)
  +0x0400: 0x06031254 -> 0x08030654   (A 100864596  B 134415956)
  +0x0408: 0x00540417 -> 0x0854052f   (A 5506071  B 139724079)
  +0x040c: 0xea140200 -> 0x02000403   (A 3927179776  B 33555459)
  +0x0410: 0x0a54052f -> 0x052f0010   (A 173278511  B 86966288)
  +0x0414: 0x02000803 -> 0x06030c54   (A 33556483  B 100863060)
  +0x0418: 0x052f0010 -> 0x00100200   (A 86966288  B 1049088)
  +0x041c: 0x04031054 -> 0x8b2f0739   (A 67309652  B 2335115065)
  +0x0420: 0x00100200 -> 0x00020400   (A 1049088  B 132096)
  +0x0424: 0x8f0f1349 -> 0x00000200   (A 2400129865  B 512)
  +0x0428: 0x00020300 -> 0x8b2f0f79   (A 131840  B 2335117177)
  +0x042c: 0x00000200 -> 0x00020100   (A 512  B 131328)
  +0x0430: 0x8f2f0b59 -> 0x00000200   (A 2402224985  B 512)
  +0x0434: 0x00020400 -> 0x8b2f0989   (A 132096  B 2335115657)
  +0x0438: 0x00000200 -> 0x00020200   (A 512  B 131584)
  +0x043c: 0x8f2f0d69 -> 0x00000200   (A 2402225513  B 512)
  +0x0440: 0x00020100 -> 0x0724b149   (A 131328  B 119845193)
  +0x0444: 0x00000200 -> 0x01090880   (A 512  B 17369216)
  +0x0448: 0x0f3f1199 -> 0x03890f38   (A 255791513  B 59313976)
  +0x044c: 0x00020200 -> 0x01091138   (A 131584  B 17371448)
  +0x0450: 0x00000200 -> 0x11198929   (A 512  B 286886185)
  +0x0454: 0x8b24b179 -> 0x04978929   (A 2334437753  B 77039913)
  +0x0458: 0x0d690880 -> 0x00020454   (A 224987264  B 132180)
  +0x045c: 0x13898b29 -> 0xc245d008   (A 327781161  B 3259355144)
  +0x0460: 0x05298b29 -> 0x0b3f0d59   (A 86608681  B 188681561)
  +0x0464: 0x0c808f2e -> 0x00020300   (A 209751854  B 131840)
  +0x0468: 0x8f2e0739 -> 0x00000200   (A 2402158393  B 512)
  +0x046c: 0x04971080 -> 0x00540417   (A 77009024  B 5506071)
  +0x0470: 0x08020454 -> 0xea140a01   (A 134349908  B 3927181825)
  +0x0474: 0xc245d018 -> 0x0b380109   (A 3259355160  B 188219657)
  +0x0478: 0x8b290949 -> 0x83248759   (A 2334722377  B 2200209241)
  +0x047c: 0x83248b39 -> 0x01090800   (A 2200210233  B 17369088)
  +0x0480: 0x01090800 -> 0x0b190939   (A 17369088  B 186190137)
  +0x0484: 0x08800f3e -> 0x0497073a   (A 142610238  B 77006650)
  +0x0488: 0x0b3a0719 -> 0x00020554   (A 188352281  B 132436)
  +0x048c: 0x05540497 -> 0xc245d008   (A 89392279  B 3259355144)
  +0x0490: 0xd0080002 -> 0x04540287   (A 3490185218  B 72614535)
  +0x0494: 0x0287c245 -> 0x06e70008   (A 42451525  B 115802120)
  +0x0498: 0x00080454 -> 0x00000454   (A 525396  B 1108)
  +0x049c: 0x045406e7 -> 0x00004e01   (A 72615655  B 19969)
  +0x04a0: 0x4e010000 -> 0x02070000   (A 1308688384  B 34013184)
  +0x04a4: 0x00000000 -> 0x00020c54   (A 0  B 134228)
  +0x04a8: 0x0c540207 -> 0x0000000e   (A 206832135  B 14)
  +0x04ac: 0x000e0002 -> 0x00000000   (A 917506  B 0)

=== gpu_va=0x10000058000  A=bo_sigusr1_h0_va10000058000_cpu105098000_sz4000.hex  B=bo_sigusr1_h0_va10000058000_cpu100f68000_sz4000.hex ===
  +0x0000: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0004: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0008: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x000c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0010: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0014: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0018: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x001c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0020: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0024: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0028: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x002c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0030: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0034: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0038: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x003c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0040: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0044: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0048: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x004c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0050: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0054: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0058: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x005c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0060: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0064: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0068: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x006c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0070: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0074: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0078: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x007c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
