
=== BO 0x10000000000 (bo_sigusr1_h0_va10000000000_cpu102378000_sz10000.hex) shader-ptr candidates ===
  +0x0000: raw=0x00000340  <<6|base->0x01000000d000 = va=0x10000000000+0xd000
  +0x0340: raw=0x00000140  <<6|base->0x010000005000 = va=0x10000000000+0x5000
  +0x0380: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x0408: raw=0x00000200  <<6|base->0x010000008000 = va=0x10000000000+0x8000
  +0x0480: raw=0x00000080  <<6|base->0x010000002000 = va=0x10000000000+0x2000
  +0x04c4: raw=0x0000000c  <<6|base->0x010000000300 = va=0x10000000000+0x300
  +0x04d0: raw=0x0000000c  <<6|base->0x010000000300 = va=0x10000000000+0x300
  +0x04dc: raw=0x0000000c  <<6|base->0x010000000300 = va=0x10000000000+0x300
  +0x0500: raw=0x00000140  <<6|base->0x010000005000 = va=0x10000000000+0x5000
  +0x0544: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x0640: raw=0x00000140  <<6|base->0x010000005000 = va=0x10000000000+0x5000
  +0x0684: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x0780: raw=0x000000c0  <<6|base->0x010000003000 = va=0x10000000000+0x3000
  +0x07c0: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x0804: raw=0x00000001  <<6|base->0x010000000040 = va=0x10000000000+0x40
  +0x0828: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x0840: raw=0x000000c0  <<6|base->0x010000003000 = va=0x10000000000+0x3000
  +0x0880: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x08c4: raw=0x0000001b  <<6|base->0x0100000006c0 = va=0x10000000000+0x6c0
  +0x0944: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x0a74: raw=0x00000124  <<6|base->0x010000004900 = va=0x10000000000+0x4900
  +0x0bd0: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x0df0: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x0ee0: raw=0x00000001  <<6|base->0x010000000040 = va=0x10000000000+0x40
  +0x0ef4: raw=0x00000218  <<6|base->0x010000008600 = va=0x10000000000+0x8600
  +0x10b8: raw=0x00000104  <<6|base->0x010000004100 = va=0x10000000000+0x4100
  +0x10f8: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x1104: raw=0x00000104  <<6|base->0x010000004100 = va=0x10000000000+0x4100
  +0x1108: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x1184: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x11d4: raw=0x00000009  <<6|base->0x010000000240 = va=0x10000000000+0x240
  +0x11f0: raw=0x00000009  <<6|base->0x010000000240 = va=0x10000000000+0x240
  +0x1208: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x1214: raw=0x00000207  <<6|base->0x0100000081c0 = va=0x10000000000+0x81c0
  +0x1220: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x1870: raw=0x00000082  <<6|base->0x010000002080 = va=0x10000000000+0x2080
  +0x1874: raw=0x00000060  <<6|base->0x010000001800 = va=0x10000000000+0x1800
  +0x1964: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x1a58: raw=0x00000210  <<6|base->0x010000008400 = va=0x10000000000+0x8400
  +0x1c64: raw=0x00000200  <<6|base->0x010000008000 = va=0x10000000000+0x8000
  +0x1ca8: raw=0x00000008  <<6|base->0x010000000200 = va=0x10000000000+0x200
  +0x1cd4: raw=0x00000009  <<6|base->0x010000000240 = va=0x10000000000+0x240
  +0x1e14: raw=0x00000082  <<6|base->0x010000002080 = va=0x10000000000+0x2080
  +0x1e18: raw=0x00000060  <<6|base->0x010000001800 = va=0x10000000000+0x1800
  +0x2500: raw=0x00000007  <<6|base->0x0100000001c0 = va=0x10000000000+0x1c0
  +0x2514: raw=0x00000204  <<6|base->0x010000008100 = va=0x10000000000+0x8100
  +0x2520: raw=0x00000104  <<6|base->0x010000004100 = va=0x10000000000+0x4100
  +0x2524: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x2540: raw=0x000000c0  <<6|base->0x010000003000 = va=0x10000000000+0x3000
  +0x2580: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x25e0: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x2600: raw=0x00000100  <<6|base->0x010000004000 = va=0x10000000000+0x4000
  +0x2644: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x26c8: raw=0x000000b0  <<6|base->0x010000002c00 = va=0x10000000000+0x2c00
  +0x26cc: raw=0x00000001  <<6|base->0x010000000040 = va=0x10000000000+0x40
  +0x26e8: raw=0x00000054  <<6|base->0x010000001500 = va=0x10000000000+0x1500
  +0x2700: raw=0x000000c0  <<6|base->0x010000003000 = va=0x10000000000+0x3000
  +0x2780: raw=0x0000000e  <<6|base->0x010000000380 = va=0x10000000000+0x380
  +0x2804: raw=0x00000001  <<6|base->0x010000000040 = va=0x10000000000+0x40
  +0x2834: raw=0x00000210  <<6|base->0x010000008400 = va=0x10000000000+0x8400

=== BO 0x10000018000 (bo_sigusr1_h0_va10000018000_cpu10238c000_sz20000.hex) shader-ptr candidates ===
  +0x0024: raw=0x0000035b  <<6|base->0x01000000d6c0 = va=0x10000000000+0xd6c0
  +0x020c: raw=0x00000010  <<6|base->0x010000000400 = va=0x10000000000+0x400
  +0x0400: raw=0x00000019  <<6|base->0x010000000640 = va=0x10000000000+0x640
  +0x0418: raw=0x00000100  <<6|base->0x010000004000 = va=0x10000000000+0x4000
  +0x2614: raw=0x00000001  <<6|base->0x010000000040 = va=0x10000000000+0x40
  +0x261c: raw=0x00000001  <<6|base->0x010000000040 = va=0x10000000000+0x40
  +0x2624: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x262c: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x2634: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x263c: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x2644: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x264c: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x2654: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x265c: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x2664: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x266c: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x2674: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x267c: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x2684: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x268c: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x2694: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x269c: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26a4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26ac: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26b4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26bc: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26c4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26cc: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26d4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26dc: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26e4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26ec: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26f4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x26fc: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x2704: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x270c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2714: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x271c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2724: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x272c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2734: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x273c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2744: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x274c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2754: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x275c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2764: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x276c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2774: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x277c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
