BOs only in A: 0x10000060000 0x10000088000 0x10000100000 0x10000110000 0x10000248000 0x10000258000
BOs only in B: 0x10000080000 0x100000a8000 0x10000150000 0x10000160000 0x100002a8000 0x100002b8000

=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu10272c000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu104694000_sz8000.hex ===
  +0x000c: 0x00004800 -> 0x00005000   (A 18432  B 20480)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu102940000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu109350000_sz8000.hex ===
  +0x0014: 0x00004c19 -> 0x00005419   (A 19481  B 21529)

=== gpu_va=0x68000  A=bo_sigusr1_h0_va68000_cpu1075c8000_sz88e0.hex  B=bo_sigusr1_h0_va68000_cpu109358000_sz88e0.hex ===
  +0x0904: 0x80000001 -> 0x80000004   (A 2147483649  B 2147483652)
  +0x0908: 0x00000001 -> 0x00000004   (A 1  B 4)
  +0x0910: 0x42000000 -> 0x42a00000   (A 1107296256  B 1117782016)
  +0x0914: 0x42000000 -> 0x42a00000   (A 1107296256  B 1117782016)
  +0x0918: 0x42000000 -> 0x42a00000   (A 1107296256  B 1117782016)
  +0x091c: 0xc2000000 -> 0xc2a00000   (A 3254779904  B 3265265664)

=== gpu_va=0x10000018000  A=bo_sigusr1_h0_va10000018000_cpu102648000_sz20000.hex  B=bo_sigusr1_h0_va10000018000_cpu104594000_sz20000.hex ===
  +0x0208: 0x00006000 -> 0x00008000   (A 24576  B 32768)
  +0x0224: 0x0000fc03 -> 0x00027c09   (A 64515  B 162825)
  +0x022c: 0x0003c010 -> 0x000bc010   (A 245776  B 770064)
  +0x0420: 0x3fc60a02 -> 0x9fc60a02   (A 1069943298  B 2680556034)
  +0x0424: 0x00000fc0 -> 0x000027c0   (A 4032  B 10176)
  +0x042c: 0x0000f010 -> 0x0002f010   (A 61456  B 192528)

=== gpu_va=0x10000018200  A=bo_sigusr1_h0_va10000018200_cpu102648200_sz20000.hex  B=bo_sigusr1_h0_va10000018200_cpu104594200_sz20000.hex ===
  +0x0008: 0x00006000 -> 0x00008000   (A 24576  B 32768)
  +0x0024: 0x0000fc03 -> 0x00027c09   (A 64515  B 162825)
  +0x002c: 0x0003c010 -> 0x000bc010   (A 245776  B 770064)
  +0x0220: 0x3fc60a02 -> 0x9fc60a02   (A 1069943298  B 2680556034)
  +0x0224: 0x00000fc0 -> 0x000027c0   (A 4032  B 10176)
  +0x022c: 0x0000f010 -> 0x0002f010   (A 61456  B 192528)

=== gpu_va=0x10000018400  A=bo_sigusr1_h0_va10000018400_cpu102648400_sz20000.hex  B=bo_sigusr1_h0_va10000018400_cpu104594400_sz20000.hex ===
  +0x0020: 0x3fc60a02 -> 0x9fc60a02   (A 1069943298  B 2680556034)
  +0x0024: 0x00000fc0 -> 0x000027c0   (A 4032  B 10176)
  +0x002c: 0x0000f010 -> 0x0002f010   (A 61456  B 192528)

=== gpu_va=0x10000058000  A=bo_sigusr1_h0_va10000058000_cpu102688000_sz4000.hex  B=bo_sigusr1_h0_va10000058000_cpu1045d4000_sz20000.hex ===
  [size differs: A read 0x4000  B read 0x8000]
  +0x0280: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0284: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0288: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x028c: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0290: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0294: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0298: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x029c: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02a0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02a4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02a8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02ac: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02b0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02b4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02b8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02bc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02c0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02c4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x02c8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
