  +0x0008: 0x000004c0 -> 0x00000480   (A 1216  B 1152)
  +0x0014: 0x00004c19 -> 0x00005019   (A 19481  B 20505)
  +0x0000: 0x00110020 -> 0x00000000   (A 1114144  B 0)
  +0x0004: 0x00000100 -> 0x0000006f   (A 256  B 111)
  +0x0008: 0x00110120 -> 0x00058000   (A 1114400  B 360448)
  +0x000c: 0x00000100 -> 0x00058000   (A 256  B 360448)
  +0x0010: 0x00000000 -> 0x60000000   (A 0  B 1610612736)
  +0x0018: 0x00000000 -> 0x00058000   (A 0  B 360448)
  +0x0020: 0xf60a0a02 -> 0x00000000   (A 4127853058  B 0)
  +0x0024: 0x0000fc03 -> 0x00000000   (A 64515  B 0)
  +0x0028: 0x00005800 -> 0x00000000   (A 22528  B 0)
  +0x002c: 0x0003c010 -> 0x00000000   (A 245776  B 0)
  +0x0030: 0x00000000 -> 0x00019b00   (A 0  B 105216)
  +0x0034: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0038: 0x00000000 -> 0x00019a00   (A 0  B 104960)
  +0x003c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0040: 0x00000000 -> 0x3f000000   (A 0  B 1056964608)
  +0x0044: 0x00000000 -> 0x3f000000   (A 0  B 1056964608)
  +0x00a0: 0x00000000 -> 0x00018700   (A 0  B 100096)
  +0x00a4: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0120: 0x000e0000 -> 0x00000000   (A 917504  B 0)
  +0x0124: 0x00000340 -> 0x00000000   (A 832  B 0)
  +0x0140: 0x60000000 -> 0x00000000   (A 1610612736  B 0)
  +0x0144: 0x0000035b -> 0x00000000   (A 859  B 0)
  +0x0160: 0x00110168 -> 0x00000000   (A 1114472  B 0)
  +0x0164: 0x00000100 -> 0x00000000   (A 256  B 0)
  +0x0168: 0x00000002 -> 0x00000000   (A 2  B 0)
  +0x016c: 0x00000001 -> 0x00000000   (A 1  B 0)
  +0x017c: 0x3f800000 -> 0x00000000   (A 1065353216  B 0)
  +0x01f0: 0x3f800000 -> 0x00000000   (A 1065353216  B 0)
  +0x01fc: 0x3f800000 -> 0x00000000   (A 1065353216  B 0)
  +0x02d0: 0x00100083 -> 0x00000000   (A 1048707  B 0)
  +0x02f0: 0x00408001 -> 0x00000000   (A 4227073  B 0)
  +0x0300: 0x00110320 -> 0x00000000   (A 1114912  B 0)
