  +0x0014: 0x00004c19 -> 0x00004420   (A 19481  B 17440)
  +0x0000: 0x00110020 -> 0x0002802c   (A 1114144  B 163884)
  +0x0004: 0x00000100 -> 0x00780000   (A 256  B 7864320)
  +0x0008: 0x00110120 -> 0x0002803c   (A 1114400  B 163900)
  +0x000c: 0x00000100 -> 0x00000004   (A 256  B 4)
  +0x0010: 0x00000000 -> 0x0042e0ac   (A 0  B 4382892)
  +0x0014: 0x00000000 -> 0x00200008   (A 0  B 2097160)
  +0x0018: 0x00000000 -> 0x004280bc   (A 0  B 4358332)
  +0x001c: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x0020: 0xf60a0a02 -> 0x2c540067   (A 4127853058  B 743702631)
  +0x0024: 0x0000fc03 -> 0x00000002   (A 64515  B 2)
  +0x0028: 0x00005800 -> 0x402c0057   (A 22528  B 1076625495)
  +0x002c: 0x0003c010 -> 0x00670026   (A 245776  B 6750246)
  +0x0030: 0x00000000 -> 0x00022454   (A 0  B 140372)
  +0x0034: 0x00000000 -> 0x00570000   (A 0  B 5701632)
  +0x0038: 0x00000000 -> 0x00264000   (A 0  B 2506752)
  +0x003c: 0x00000000 -> 0x74540067   (A 0  B 1951662183)
  +0x0040: 0x00000000 -> 0x0000001a   (A 0  B 26)
  +0x0044: 0x00000000 -> 0x4010005d   (A 0  B 1074790493)
  +0x0048: 0x00000000 -> 0x00670026   (A 0  B 6750246)
  +0x004c: 0x00000000 -> 0x001a6c54   (A 0  B 1731668)
  +0x0050: 0x00000000 -> 0x00570000   (A 0  B 5701632)
  +0x0054: 0x00000000 -> 0x0026400e   (A 0  B 2506766)
  +0x0058: 0x00000000 -> 0x64540067   (A 0  B 1683226727)
  +0x005c: 0x00000000 -> 0x0000001a   (A 0  B 26)
  +0x0060: 0x00000000 -> 0x400c0057   (A 0  B 1074528343)
  +0x0064: 0x00000000 -> 0x00670026   (A 0  B 6750246)
  +0x0068: 0x00000000 -> 0x001a5c54   (A 0  B 1727572)
  +0x006c: 0x00000000 -> 0x00570000   (A 0  B 5701632)
  +0x0070: 0x00000000 -> 0x0026400a   (A 0  B 2506762)
  +0x0074: 0x00000000 -> 0x54540067   (A 0  B 1414791271)
  +0x0078: 0x00000000 -> 0x0000001a   (A 0  B 26)
  +0x007c: 0x00000000 -> 0x40080057   (A 0  B 1074266199)
  +0x0080: 0x00000000 -> 0x00670026   (A 0  B 6750246)
  +0x0084: 0x00000000 -> 0x001a4c54   (A 0  B 1723476)
  +0x0088: 0x00000000 -> 0x00570000   (A 0  B 5701632)
  +0x008c: 0x00000000 -> 0x00264006   (A 0  B 2506758)
  +0x0090: 0x00000000 -> 0x44540067   (A 0  B 1146355815)
  +0x0094: 0x00000000 -> 0x0000001a   (A 0  B 26)
  +0x0098: 0x00000000 -> 0x40040057   (A 0  B 1074004055)
  +0x009c: 0x00000000 -> 0x00670026   (A 0  B 6750246)
  +0x00a0: 0x00000000 -> 0x001a3c54   (A 0  B 1719380)
  +0x00a4: 0x00000000 -> 0x00570000   (A 0  B 5701632)
  +0x00a8: 0x00000000 -> 0x00264002   (A 0  B 2506754)
  +0x00ac: 0x00000000 -> 0x34540067   (A 0  B 877920359)
  +0x00b0: 0x00000000 -> 0x0000001a   (A 0  B 26)
  +0x00b4: 0x00000000 -> 0x40000457   (A 0  B 1073742935)
  +0x00b8: 0x00000000 -> 0x00770026   (A 0  B 7798822)
  +0x00bc: 0x00000000 -> 0x004b422a   (A 0  B 4932138)
  +0x00c0: 0x00000000 -> 0x01770000   (A 0  B 24576000)
  +0x00c4: 0x00000000 -> 0x001302aa   (A 0  B 1245866)
  +0x00c8: 0x00000000 -> 0x00060200   (A 0  B 393728)
  +0x00cc: 0x00000000 -> 0x002a00f7   (A 0  B 2752759)
  +0x00d0: 0x00000000 -> 0x00000005   (A 0  B 5)
  +0x00d4: 0x00000000 -> 0x801c0000   (A 0  B 2149318656)
  +0x00d8: 0x00000000 -> 0x00000002   (A 0  B 2)
  +0x00dc: 0x00000000 -> 0x81140000   (A 0  B 2165571584)
  +0x00e0: 0x00000000 -> 0x00000611   (A 0  B 1553)
  +0x00e4: 0x00000000 -> 0x800c0000   (A 0  B 2148270080)
  +0x00e8: 0x00000000 -> 0x00040002   (A 0  B 262146)
  +0x00ec: 0x00000000 -> 0x119f0000   (A 0  B 295632896)
  +0x00f0: 0x00000000 -> 0x00020054   (A 0  B 131156)
  +0x00f4: 0x00000000 -> 0x0510a808   (A 0  B 84977672)
