
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu104fb0000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1030fc000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0000: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0040: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0044: 0x00000004 -> 0x00000000   (A 4  B 0)
  +0x0080: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x00c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0100: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0140: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0180: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x01c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0200: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0240: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0280: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x02c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0300: 0x0000fcc0 -> 0x00000000   (A 64704  B 0)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu104a68000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu103104000_sz10000.hex ===
  +0x0500: 0x00000140 -> 0x00000240   (A 320  B 576)
  +0x0594: 0x0a020726 -> 0x0a022726   (A 167905062  B 167913254)
  +0x059c: 0x0420000b -> 0x052d0529   (A 69206027  B 86836521)
  +0x05a0: 0x05268519 -> 0x81390200   (A 86410521  B 2167996928)
  +0x05a4: 0x02420082 -> 0x02000725   (A 37879938  B 33556261)
  +0x05a8: 0x05290400 -> 0x09258349   (A 86574080  B 153453385)
  +0x05ac: 0x0282052e -> 0x87590200   (A 42075438  B 2270757376)
  +0x05b0: 0x08000242 -> 0x84008926   (A 134218306  B 2214627622)
  +0x05b4: 0x3e23803c -> 0x083b0b39   (A 1042513980  B 138087225)
  +0x05b8: 0x0c000000 -> 0x052e0739   (A 201326592  B 86902585)
  +0x05bc: 0x804c6040 -> 0x812904a0   (A 2152489024  B 2166949024)
  +0x05c0: 0x00003e23 -> 0x02000b25   (A 15907  B 33557285)
  +0x05c4: 0x80400400 -> 0x0d258349   (A 2151678976  B 220562249)
  +0x05c8: 0x3e23805c -> 0x85690200   (A 1042514012  B 2238251520)
  +0x05cc: 0x08000000 -> 0x86008926   (A 134217728  B 2248182054)
  +0x05d0: 0x806c8040 -> 0x083b0d29   (A 2154594368  B 138087721)
  +0x05d4: 0x00003e23 -> 0x052e0539   (A 15907  B 86902073)
  +0x05d8: 0xa0400a00 -> 0x812906a0   (A 2688551424  B 2166949536)
  +0x05dc: 0x02542657 -> 0x02000f25   (A 39069271  B 33558309)
  +0x05e0: 0x00494000 -> 0x11258349   (A 4800512  B 287671113)
  +0x05e4: 0x04544657 -> 0x85690200   (A 72631895  B 2238251520)
  +0x05e8: 0x004a4020 -> 0x86008926   (A 4866080  B 2248182054)
  +0x05ec: 0x00541657 -> 0x083b0d29   (A 5510743  B 138087721)
  +0x05f0: 0x004a4040 -> 0x052e0539   (A 4866112  B 86902073)
  +0x05f4: 0x06548657 -> 0x812906a0   (A 106202711  B 2166949536)
  +0x05f8: 0x00424060 -> 0x02001325   (A 4341856  B 33559333)
  +0x05fc: 0x08550657 -> 0x15258349   (A 139789911  B 354779977)
  +0x0600: 0x00484080 -> 0x85690200   (A 4735104  B 2238251520)
  +0x0604: 0x0a540657 -> 0x86008926   (A 173278807  B 2248182054)
  +0x0608: 0x004c40a0 -> 0x083b0d29   (A 4997280  B 138087721)
  +0x060c: 0x0c560657 -> 0x052e0539   (A 206964311  B 86902073)
  +0x0610: 0x004d40c0 -> 0x812906a0   (A 5062848  B 2166949536)
  +0x0614: 0x06540657 -> 0x02001725   (A 106169943  B 33560357)
  +0x0618: 0x004b40e0 -> 0x19258349   (A 4931808  B 421888841)
  +0x061c: 0x0000000e -> 0x85690200   (A 14  B 2238251520)
