
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu104348000_sz10000.hex  B=map_seq000045_conn0_type00005e15_at102314000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0000: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0040: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0080: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x00c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0100: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0140: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0180: 0x000000c0 -> 0x00000000   (A 192  B 0)
  +0x01c0: 0x00070003 -> 0x00000000   (A 458755  B 0)
  +0x01c4: 0x00000002 -> 0x00000000   (A 2  B 0)
  +0x01c8: 0x000e0060 -> 0x00000000   (A 917600  B 0)
  +0x01cc: 0x00060000 -> 0x00000000   (A 393216  B 0)
  +0x01d0: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01d4: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01d8: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01dc: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01e0: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01e4: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01e8: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01ec: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01f0: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01f4: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01f8: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x01fc: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0200: 0x0610a01c -> 0x00000000   (A 101752860  B 0)
  +0x0204: 0x00441067 -> 0x00000000   (A 4460647  B 0)
  +0x0208: 0x00200101 -> 0x00000000   (A 2097409  B 0)
  +0x020c: 0x40000151 -> 0x00000000   (A 1073742161  B 0)
  +0x0210: 0xc9090046 -> 0x00000000   (A 3372810310  B 0)
  +0x0214: 0xc0800114 -> 0x00000000   (A 3229614356  B 0)
  +0x0218: 0x005400e7 -> 0x00000000   (A 5505255  B 0)
  +0x021c: 0x00210100 -> 0x00000000   (A 2162944  B 0)
  +0x0220: 0x90000011 -> 0x00000000   (A 2415919121  B 0)
  +0x0224: 0x000e0011 -> 0x00000000   (A 917521  B 0)
  +0x0240: 0x000000c0 -> 0x00000000   (A 192  B 0)
  +0x0280: 0x24540067 -> 0x00000000   (A 609484903  B 0)
  +0x0284: 0x00000006 -> 0x00000000   (A 6  B 0)
  +0x0288: 0x40000057 -> 0x00000000   (A 1073741911  B 0)
  +0x028c: 0x01770026 -> 0x00000000   (A 24576038  B 0)
  +0x0290: 0x0000042a -> 0x00000000   (A 1066  B 0)
  +0x0294: 0x00040020 -> 0x00000000   (A 262176  B 0)
  +0x0298: 0x002a00f7 -> 0x00000000   (A 2752759  B 0)
  +0x02a0: 0x801c0000 -> 0x00000000   (A 2149318656  B 0)
  +0x02a4: 0x00000002 -> 0x00000000   (A 2  B 0)
  +0x02a8: 0x81140000 -> 0x00000000   (A 2165571584  B 0)
  +0x02ac: 0x00000611 -> 0x00000000   (A 1553  B 0)
  +0x02b0: 0x800c0000 -> 0x00000000   (A 2148270080  B 0)
  +0x02b4: 0x00040002 -> 0x00000000   (A 262146  B 0)
  +0x02b8: 0x119f0000 -> 0x00000000   (A 295632896  B 0)
  +0x02bc: 0x00020054 -> 0x00000000   (A 131156  B 0)
  +0x02c0: 0x0510a808 -> 0x00000000   (A 84977672  B 0)
  +0x02c4: 0x0002801c -> 0x00000000   (A 163868  B 0)
  +0x02c8: 0x00000004 -> 0x00000000   (A 4  B 0)
  +0x02cc: 0x0054120f -> 0x00000000   (A 5509647  B 0)
  +0x02d0: 0x240b004c -> 0x00000000   (A 604700748  B 0)
  +0x02d4: 0x261b4409 -> 0x00000000   (A 639321097  B 0)
