BOs only in A: 0x28000 0x38000 0x48000 0x58000 0x68000
BOs only in B: 0x20000 0x30000 0x40000 0x50000 0x60000 0x70000

=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu102d58000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1043f8000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0000: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0040: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0080: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x00c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0100: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0140: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0180: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x01c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x01c4: 0x00000004 -> 0x00000000   (A 4  B 0)
  +0x0200: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0240: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0280: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x02c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0300: 0x0000fcc0 -> 0x00000000   (A 64704  B 0)

=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu102e08000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu10445c000_sz4000.hex ===
  [size differs: A read 0x8000  B read 0x4000]
  +0x0000: 0x4000002e -> 0x00000000   (A 1073741870  B 0)
  +0x0004: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0008: 0x01000000 -> 0x00000001   (A 16777216  B 1)
  +0x000c: 0x00004800 -> 0x00000000   (A 18432  B 0)
  +0x0010: 0x00000808 -> 0x0000009c   (A 2056  B 156)
  +0x0014: 0x00000000 -> 0x0000009c   (A 0  B 156)
  +0x0018: 0x00000000 -> 0x00000062   (A 0  B 98)
  +0x001c: 0x00000500 -> 0x00000062   (A 1280  B 98)
  +0x0020: 0x000001c0 -> 0x00000000   (A 448  B 0)
  +0x0024: 0x00000700 -> 0x00000000   (A 1792  B 0)
  +0x0028: 0x00058000 -> 0x00000000   (A 360448  B 0)
  +0x002c: 0x00000500 -> 0x00000000   (A 1280  B 0)
  +0x0030: 0x0005801c -> 0x00000000   (A 360476  B 0)
  +0x0034: 0x00000700 -> 0x00000000   (A 1792  B 0)
  +0x0038: 0x00058030 -> 0x00000000   (A 360496  B 0)
  +0x003c: 0x00000500 -> 0x00000000   (A 1280  B 0)
  +0x0040: 0x0005804c -> 0x00000000   (A 360524  B 0)
  +0x0044: 0x00000a00 -> 0x00000000   (A 2560  B 0)
  +0x0048: 0x00068900 -> 0x00000008   (A 428288  B 8)
  +0x004c: 0x00000300 -> 0x00000000   (A 768  B 0)
  +0x0050: 0x00058060 -> 0x00000000   (A 360544  B 0)
  +0x0054: 0x00000200 -> 0xffffffff   (A 512  B 4294967295)
  +0x0058: 0x0005806c -> 0xffffffff   (A 360556  B 4294967295)
  +0x005c: 0x00000200 -> 0x00000000   (A 512  B 0)
  +0x0060: 0x00048000 -> 0x00000000   (A 294912  B 0)
  +0x0064: 0x61c40600 -> 0xffffffff   (A 1640236544  B 4294967295)
  +0x0068: 0x00000003 -> 0xffffffff   (A 3  B 4294967295)
  +0x006c: 0x00000001 -> 0x00000004   (A 1  B 4)
  +0x0070: 0x00000000 -> 0x00000014   (A 0  B 20)
  +0x0074: 0xc0000000 -> 0x0000002c   (A 3221225472  B 44)
  +0x0078: 0x00000000 -> 0x0000003c   (A 0  B 60)
  +0x007c: 0x00000000 -> 0x0000017c   (A 0  B 380)
  +0x0080: 0x00000000 -> 0x00000040   (A 0  B 64)
  +0x0084: 0x00000000 -> 0x000001fc   (A 0  B 508)
  +0x0088: 0x00000000 -> 0x00000054   (A 0  B 84)
  +0x008c: 0x00000000 -> 0x00000280   (A 0  B 640)
  +0x0090: 0x00000000 -> 0x000000c0   (A 0  B 192)
