
=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu10484c000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu1031d8000_sz8000.hex ===
  +0x00dc: 0xc0000000 -> 0x00000700   (A 3221225472  B 1792)
  +0x00e0: 0x00000000 -> 0x000580cc   (A 0  B 360652)
  +0x00e4: 0x00000000 -> 0x00000500   (A 0  B 1280)
  +0x00e8: 0x00000000 -> 0x000580e8   (A 0  B 360680)
  +0x00ec: 0x00000000 -> 0x61c40600   (A 0  B 1640236544)
  +0x00f0: 0x00000000 -> 0x00000003   (A 0  B 3)
  +0x00f4: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x00fc: 0x00000000 -> 0xc0000000   (A 0  B 3221225472)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu109860000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu107cc4000_sz8000.hex ===
  +0x008c: 0x0004c200 -> 0x00048200   (A 311808  B 295424)
  +0x00cc: 0x00000000 -> 0x010000b4   (A 0  B 16777396)
  +0x00d0: 0x00000000 -> 0x00048200   (A 0  B 295424)
  +0x00d4: 0x00000000 -> 0x07200f00   (A 0  B 119541504)
  +0x00d8: 0x00000000 -> 0x0e000000   (A 0  B 234881024)
  +0x00dc: 0x00000000 -> 0x07200f00   (A 0  B 119541504)
  +0x00e0: 0x00000000 -> 0x0e000000   (A 0  B 234881024)
  +0x00e4: 0x00000000 -> 0x00020000   (A 0  B 131072)
  +0x00e8: 0x00000000 -> 0x02000048   (A 0  B 33554504)
  +0x00ec: 0x00000000 -> 0x00000200   (A 0  B 512)
  +0x00f0: 0x00000000 -> 0x07e00000   (A 0  B 132120576)
  +0x00f4: 0x00000000 -> 0x07e00000   (A 0  B 132120576)
  +0x00f8: 0x00000000 -> 0x0001ffff   (A 0  B 131071)

=== gpu_va=0x10000018600  A=bo_sigusr1_h0_va10000018600_cpu104768600_sz20000.hex  B=bo_sigusr1_h0_va10000018600_cpu102e24600_sz20000.hex ===
  +0x0200: 0x00000001 -> 0x00001000   (A 1  B 4096)
  +0x0208: 0x00000001 -> 0x00001000   (A 1  B 4096)
  +0x020c: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000018700  A=bo_sigusr1_h0_va10000018700_cpu104768700_sz20000.hex  B=bo_sigusr1_h0_va10000018700_cpu102e24700_sz20000.hex ===
  +0x0100: 0x00000001 -> 0x00001000   (A 1  B 4096)
  +0x0108: 0x00000001 -> 0x00001000   (A 1  B 4096)
  +0x010c: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000018800  A=bo_sigusr1_h0_va10000018800_cpu104768800_sz20000.hex  B=bo_sigusr1_h0_va10000018800_cpu102e24800_sz20000.hex ===
  +0x0000: 0x00000001 -> 0x00001000   (A 1  B 4096)
  +0x0008: 0x00000001 -> 0x00001000   (A 1  B 4096)
  +0x000c: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000258000  A=bo_sigusr1_h0_va10000258000_cpu104c0c000_sz8000.hex  B=bo_sigusr1_h0_va10000258000_cpu107ca4000_sz8000.hex ===
  +0x0000: 0x00000000 -> 0x00020000   (A 0  B 131072)

[31 differing words across 39 paired BO(s)]
