
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu10499c000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at102928000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0000: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0040: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0044: 0x00000004 -> 0x00000000   (A 4  B 0)
  +0x0080: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x00c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0100: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0140: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0180: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x01c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0200: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0240: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0280: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x02c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0300: 0x0000fcc0 -> 0x00000000   (A 64704  B 0)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu104ab8000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu107ad0000_sz8000.hex ===
  +0x00a0: 0x00000000 -> 0x00040000   (A 0  B 262144)

=== gpu_va=0x10000018600  A=bo_sigusr1_h0_va10000018600_cpu10496c600_sz20000.hex  B=bo_sigusr1_h0_va10000018600_cpu102d7c600_sz20000.hex ===
  +0x0200: 0x00001000 -> 0x00000000   (A 4096  B 0)
  +0x0210: 0x00000002 -> 0x00001000   (A 2  B 4096)
  +0x0214: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000018700  A=bo_sigusr1_h0_va10000018700_cpu10496c700_sz20000.hex  B=bo_sigusr1_h0_va10000018700_cpu102d7c700_sz20000.hex ===
  +0x0100: 0x00001000 -> 0x00000000   (A 4096  B 0)
  +0x0110: 0x00000002 -> 0x00001000   (A 2  B 4096)
  +0x0114: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000018800  A=bo_sigusr1_h0_va10000018800_cpu10496c800_sz20000.hex  B=bo_sigusr1_h0_va10000018800_cpu102d7c800_sz20000.hex ===
  +0x0000: 0x00001000 -> 0x00000000   (A 4096  B 0)
  +0x0010: 0x00000002 -> 0x00001000   (A 2  B 4096)
  +0x0014: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000258000  A=bo_sigusr1_h0_va10000258000_cpu104a98000_sz8000.hex  B=bo_sigusr1_h0_va10000258000_cpu107ab0000_sz8000.hex ===
  +0x0000: 0x00000000 -> 0x00000004   (A 0  B 4)

[25 differing words across 39 paired BO(s)]
