(144, 'cf_trip3_false_arm', 'CF', 'OK', True, True, {'0': 51.5}, {'0': 51.5})
(145, 'cf_trip5_true_arm', 'CF', 'OK', True, True, {'0': 315.0}, {'0': 315.0})
(146, 'cf_trip0_boundary_true', 'CF', 'OK', True, True, {'0': 200.02000427246094}, {'0': 200.02000427246094})
(147, 'cf_trip0_boundary_false', 'CF', 'OK', True, True, {'0': 96.9000015258789}, {'0': 96.9000015258789})
(148, 'cf_trip60_true_arm', 'CF', 'OK', True, True, {'0': 97.0}, {'0': 97.0})
(149, 'cf_cond7_guard_skipped', 'CF', 'OK', True, True, {'0': 300.0}, {'0': 300.0})
(150, 'cf_trip0_false_arm', 'CF', 'OK', True, True, {'0': 47.0}, {'0': 47.0})
(151, 'cf_trip1_true_arm', 'CF', 'OK', True, True, {'0': 403.0}, {'0': 403.0})
(152, 'cf_negative_start_false_arm', 'CF', 'OK', True, True, {'0': -38.0}, {'0': -38.0})
(153, 'cf_trip45_arithmetic', 'CF', 'OK', True, True, {'0': 202.0}, {'0': 202.0})
(154, 'cf_trip2_boundary_false', 'CF', 'OK', True, True, {'0': 202.0}, {'0': 202.0})
(155, 'cf_trip45_boundary_true', 'CF', 'OK', True, True, {'0': 203.0}, {'0': 203.0})
(156, 'adv_missing_mods_0xC0', 'ADVERSARIAL', 'OK', False, False, {'0': 5.0}, {'0': -4.75})
(157, 'adv_wrong_dst_token', 'ADVERSARIAL', 'OK', False, False, {'0': 5.0}, {'0': -4.734375})
(158, 'adv_opflags1_bothreal', 'ADVERSARIAL', 'OK', True, False, {'0': -19.421875}, {'0': -19.421875})
(159, 'adv_liveness_flip', 'ADVERSARIAL', 'OK', False, False, {'0': 2.0}, {'0': -7.6875})
(160, 'positive_control_deliberate_mismatch', 'ADVERSARIAL', 'OK', False, False, {'0': -8.96875}, {'0': 12336.03125})
MISMATCHED EXPECTATION count: 1
