DEVICE Apple M4
CONFIG mode=uniform order=0,1,2,3,4,5,6,7 count=650 watchdog_sec=10.0 pad_mb=0 extra_queues=0
RESOURCE vertices=0x10000018000 colour=0x10000018100 target=0x10000018200
RESULT i=0 name=vs_u0000 stage=draw status=completed final_status=4 error=""
DUMP i=0
RESULT i=1 name=vs_u0001 stage=draw status=completed final_status=4 error=""
DUMP i=1
RESULT i=2 name=vs_u0002 stage=draw status=completed final_status=4 error=""
DUMP i=2
RESULT i=3 name=vs_u0003 stage=draw status=completed final_status=4 error=""
DUMP i=3
RESULT i=4 name=vs_u0004 stage=draw status=completed final_status=4 error=""
RESULT i=5 name=vs_u0005 stage=draw status=completed final_status=4 error=""
RESULT i=6 name=vs_u0006 stage=draw status=completed final_status=4 error=""
RESULT i=7 name=vs_u0007 stage=draw status=completed final_status=4 error=""
RESULT i=8 name=vs_u0008 stage=draw status=completed final_status=4 error=""
RESULT i=9 name=vs_u0009 stage=draw status=completed final_status=4 error=""
RESULT i=10 name=vs_u0010 stage=draw status=completed final_status=4 error=""
RESULT i=11 name=vs_u0011 stage=draw status=completed final_status=4 error=""
RESULT i=12 name=vs_u0012 stage=draw status=completed final_status=4 error=""
RESULT i=13 name=vs_u0013 stage=draw status=completed final_status=4 error=""
RESULT i=14 name=vs_u0014 stage=draw status=completed final_status=4 error=""
RESULT i=15 name=vs_u0015 stage=draw status=completed final_status=4 error=""
RESULT i=16 name=vs_u0016 stage=draw status=completed final_status=4 error=""
RESULT i=17 name=vs_u0017 stage=draw status=completed final_status=4 error=""
RESULT i=18 name=vs_u0018 stage=draw status=completed final_status=4 error=""
RESULT i=19 name=vs_u0019 stage=draw status=completed final_status=4 error=""
RESULT i=20 name=vs_u0020 stage=draw status=completed final_status=4 error=""
RESULT i=21 name=vs_u0021 stage=draw status=completed final_status=4 error=""
RESULT i=22 name=vs_u0022 stage=draw status=completed final_status=4 error=""
RESULT i=23 name=vs_u0023 stage=draw status=completed final_status=4 error=""
RESULT i=24 name=vs_u0024 stage=draw status=completed final_status=4 error=""
RESULT i=25 name=vs_u0025 stage=draw status=completed final_status=4 error=""
RESULT i=26 name=vs_u0026 stage=draw status=completed final_status=4 error=""
RESULT i=27 name=vs_u0027 stage=draw status=completed final_status=4 error=""
RESULT i=28 name=vs_u0028 stage=draw status=completed final_status=4 error=""
RESULT i=29 name=vs_u0029 stage=draw status=completed final_status=4 error=""
RESULT i=30 name=vs_u0030 stage=draw status=completed final_status=4 error=""
RESULT i=31 name=vs_u0031 stage=draw status=completed final_status=4 error=""
RESULT i=32 name=vs_u0032 stage=draw status=completed final_status=4 error=""
RESULT i=33 name=vs_u0033 stage=draw status=completed final_status=4 error=""
RESULT i=34 name=vs_u0034 stage=draw status=completed final_status=4 error=""
RESULT i=35 name=vs_u0035 stage=draw status=completed final_status=4 error=""
RESULT i=36 name=vs_u0036 stage=draw status=completed final_status=4 error=""
RESULT i=37 name=vs_u0037 stage=draw status=completed final_status=4 error=""
RESULT i=38 name=vs_u0038 stage=draw status=completed final_status=4 error=""
RESULT i=39 name=vs_u0039 stage=draw status=completed final_status=4 error=""
RESULT i=40 name=vs_u0040 stage=draw status=completed final_status=4 error=""
RESULT i=41 name=vs_u0041 stage=draw status=completed final_status=4 error=""
RESULT i=42 name=vs_u0042 stage=draw status=completed final_status=4 error=""
RESULT i=43 name=vs_u0043 stage=draw status=completed final_status=4 error=""
RESULT i=44 name=vs_u0044 stage=draw status=completed final_status=4 error=""
RESULT i=45 name=vs_u0045 stage=draw status=completed final_status=4 error=""
RESULT i=46 name=vs_u0046 stage=draw status=completed final_status=4 error=""
RESULT i=47 name=vs_u0047 stage=draw status=completed final_status=4 error=""
RESULT i=48 name=vs_u0048 stage=draw status=completed final_status=4 error=""
RESULT i=49 name=vs_u0049 stage=draw status=completed final_status=4 error=""
RESULT i=50 name=vs_u0050 stage=draw status=completed final_status=4 error=""
DUMP i=50
RESULT i=51 name=vs_u0051 stage=draw status=completed final_status=4 error=""
RESULT i=52 name=vs_u0052 stage=draw status=completed final_status=4 error=""
RESULT i=53 name=vs_u0053 stage=draw status=completed final_status=4 error=""
RESULT i=54 name=vs_u0054 stage=draw status=completed final_status=4 error=""
RESULT i=55 name=vs_u0055 stage=draw status=completed final_status=4 error=""
RESULT i=56 name=vs_u0056 stage=draw status=completed final_status=4 error=""
RESULT i=57 name=vs_u0057 stage=draw status=completed final_status=4 error=""
RESULT i=58 name=vs_u0058 stage=draw status=completed final_status=4 error=""
RESULT i=59 name=vs_u0059 stage=draw status=completed final_status=4 error=""
RESULT i=60 name=vs_u0060 stage=draw status=completed final_status=4 error=""
RESULT i=61 name=vs_u0061 stage=draw status=completed final_status=4 error=""
RESULT i=62 name=vs_u0062 stage=draw status=completed final_status=4 error=""
RESULT i=63 name=vs_u0063 stage=draw status=completed final_status=4 error=""
RESULT i=64 name=vs_u0064 stage=draw status=completed final_status=4 error=""
RESULT i=65 name=vs_u0065 stage=draw status=completed final_status=4 error=""
RESULT i=66 name=vs_u0066 stage=draw status=completed final_status=4 error=""
RESULT i=67 name=vs_u0067 stage=draw status=completed final_status=4 error=""
RESULT i=68 name=vs_u0068 stage=draw status=completed final_status=4 error=""
RESULT i=69 name=vs_u0069 stage=draw status=completed final_status=4 error=""
RESULT i=70 name=vs_u0070 stage=draw status=completed final_status=4 error=""
RESULT i=71 name=vs_u0071 stage=draw status=completed final_status=4 error=""
RESULT i=72 name=vs_u0072 stage=draw status=completed final_status=4 error=""
RESULT i=73 name=vs_u0073 stage=draw status=completed final_status=4 error=""
RESULT i=74 name=vs_u0074 stage=draw status=completed final_status=4 error=""
RESULT i=75 name=vs_u0075 stage=draw status=completed final_status=4 error=""
RESULT i=76 name=vs_u0076 stage=draw status=completed final_status=4 error=""
RESULT i=77 name=vs_u0077 stage=draw status=completed final_status=4 error=""
RESULT i=78 name=vs_u0078 stage=draw status=completed final_status=4 error=""
RESULT i=79 name=vs_u0079 stage=draw status=completed final_status=4 error=""
RESULT i=80 name=vs_u0080 stage=draw status=completed final_status=4 error=""
RESULT i=81 name=vs_u0081 stage=draw status=completed final_status=4 error=""
RESULT i=82 name=vs_u0082 stage=draw status=completed final_status=4 error=""
RESULT i=83 name=vs_u0083 stage=draw status=completed final_status=4 error=""
RESULT i=84 name=vs_u0084 stage=draw status=completed final_status=4 error=""
RESULT i=85 name=vs_u0085 stage=draw status=completed final_status=4 error=""
RESULT i=86 name=vs_u0086 stage=draw status=completed final_status=4 error=""
RESULT i=87 name=vs_u0087 stage=draw status=completed final_status=4 error=""
RESULT i=88 name=vs_u0088 stage=draw status=completed final_status=4 error=""
RESULT i=89 name=vs_u0089 stage=draw status=completed final_status=4 error=""
RESULT i=90 name=vs_u0090 stage=draw status=completed final_status=4 error=""
RESULT i=91 name=vs_u0091 stage=draw status=completed final_status=4 error=""
RESULT i=92 name=vs_u0092 stage=draw status=completed final_status=4 error=""
RESULT i=93 name=vs_u0093 stage=draw status=completed final_status=4 error=""
RESULT i=94 name=vs_u0094 stage=draw status=completed final_status=4 error=""
RESULT i=95 name=vs_u0095 stage=draw status=completed final_status=4 error=""
RESULT i=96 name=vs_u0096 stage=draw status=completed final_status=4 error=""
RESULT i=97 name=vs_u0097 stage=draw status=completed final_status=4 error=""
RESULT i=98 name=vs_u0098 stage=draw status=completed final_status=4 error=""
RESULT i=99 name=vs_u0099 stage=draw status=completed final_status=4 error=""
RESULT i=100 name=vs_u0100 stage=draw status=completed final_status=4 error=""
DUMP i=100
RESULT i=101 name=vs_u0101 stage=draw status=completed final_status=4 error=""
RESULT i=102 name=vs_u0102 stage=draw status=completed final_status=4 error=""
RESULT i=103 name=vs_u0103 stage=draw status=completed final_status=4 error=""
RESULT i=104 name=vs_u0104 stage=draw status=completed final_status=4 error=""
