va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	342eb5c0a4c91f2b5f3d2f9ec26eee0167c2edd49affef23c2974c4f84a8baad	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	ce6fe1ffbe4217d608f374e9a9f380e9a02bddd4a75841497335ee103543b6c1	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	f4e249b385de3fda37073a247e98838fa1a64e8c0f52f7200f3526c9d0633603	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	c7098669ce1b3f73f39a32b63177b181ba504a0ceb7d7fdd604fc35fb73e65ec	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	efe957d90990b3d79c7e548447b87d83221e75ad72ea953ea555cdff68a886cd	1
0x10000018400	0x20000	0	unnamed-descriptor-candidate	0	52001e1283659503af10e6455b88d4ca4bfabbcf01d589d056ed9e9dbc620a79	1
0x10000018600	0x20000	0	unnamed-descriptor-candidate	0	dc26c2e9394e5a2bdc3a63574437b6ecfae9f0297ee790fb1b918a9215e0233f	1
0x10000018700	0x20000	0	unnamed-descriptor-candidate	0	5b6b81ac5d875034a571e4ac293b31dd26fed826f8b1605639e14c005d07c189	1
0x10000018800	0x20000	0	unnamed-descriptor-candidate	0	89a4c6ca87a69d546893a5851a6531bf40feebbb4c7893dc691fee6fee40b4ef	1
0x10000018900	0x20000	0	unnamed-descriptor-candidate	0	a4dc6336f043bc7803e21f5e7cc7b3379bda678ebe06901a6e02c705a39c70bb	1
