va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	342eb5c0a4c91f2b5f3d2f9ec26eee0167c2edd49affef23c2974c4f84a8baad	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	2bd7a41b87077a68dfbab50c242d27aea06ea5fdfcfc2526c90b9085177a0646	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	b8a8be461284ff25cefc39839cd86e1ad7a75dcb9700dff0c7430d67ad0b4597	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	45f59ef8c5bc0df25b276f5ea63a4c445ddf578476dd77d8c9088fc1f5884181	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	cdc54053072ec8087c52b62609c472a51aac1afc390e148e1360246b777b3c39	1
0x10000018400	0x20000	0	unnamed-descriptor-candidate	0	0d91d7774473f1f02b612a673ff93f307c33f2c08280924762b927452d86bf65	1
0x10000018600	0x20000	0	unnamed-descriptor-candidate	0	d305ae45b92b8865dee726d2f193f27c88c755e37d7b580fd87480bad938cfc4	1
0x10000018700	0x20000	0	unnamed-descriptor-candidate	0	28b78308a2220a35d2e6a038b6d4e8e46cee3f1797fd9dc02a7b103d1315e871	1
0x10000018800	0x20000	0	unnamed-descriptor-candidate	0	49262ae029b63977e38154c9fccb4666ad31e0c30e0000465d92391c3355d0df	1
0x10000018900	0x20000	0	unnamed-descriptor-candidate	0	358bd08700e55a474f62804c2fe719e77a62dd50eb4846af7c1f1a710dcf91f0	1
0x10000019900	0x20000	0	unnamed-descriptor-candidate	0	e1e74949f359a6a272c737e23f136e15ad814b705def5a3d9741c3451646dc81	1
0x10000019a00	0x20000	0	unnamed-descriptor-candidate	0	79b177aa8989d826c4e6315e0c79e9cd3837fc39773914f77a99fc958d69ccaa	1
0x10000019b00	0x20000	0	unnamed-descriptor-candidate	0	43fcf5db70328e996865bb18cbcb6c92a5b83302b59eeb8eb506c53c39d3fee4	1
0x10000019c00	0x20000	0	unnamed-descriptor-candidate	0	6b938add1181a4775808b3dd30dd26294af4e0ad3b687900e2bfbab30a751d68	1
0x1000001a400	0x20000	0	unnamed-descriptor-candidate	0	33146153eae151dbaa01db12b1c3958f6d0dbdb42ed511607bc27b95833ea729	1
0x1000001a500	0x20000	0	unnamed-descriptor-candidate	0	31e6d3a7fa99bd0649138446e0317bcc8a2b38aeb5082c4538ee78479337a98e	1
0x1000001c500	0x20000	0	unnamed-descriptor-candidate	0	69cf211c3e63c33117a2dfedcd91c9691f10e76e321fe2237f2f296c40b54f3f	1
0x10000040000	0x10000	0	unnamed-descriptor-candidate	1	5314e7cc29982aec4b627dad9781e70e5f6eca176c735d28280405511a3613e3	1
0x10000058000	0x20000	0	unnamed-descriptor-candidate	1	fa43239bcee7b97ca62f007cc68487560a39e19f74f3dde7486db3f98df8e471	1
0x10000080000	0x74000	0	unnamed-descriptor-candidate	0	f1bf8fab9ae19e358c4f82f2a5604c64bd996c3bd2fb5706119a3a17b4e31dc8	1
0x100000f8000	0x8000	0	unnamed-descriptor-candidate	1	2cf049c7461d1e3d075ebe896ae9faaacc437928a4b6c0f135cacf066b5c8bc1	1
0x10000108000	0x8000	0	unnamed-descriptor-candidate	1	4a32b5628897fc6fbf95823af1517ed0638295bd9fe570efc8cfac2c004b4aae	1
0x10000118000	0x8000	0	unnamed-descriptor-candidate	1	d7242d3ccdafd760232edfde67dfdefed9881f67a6ea937c30e431113f7136f7	1
0x10000128000	0x8000	0	clear-color-arena	1	ffe2bad46a38df83ec0cc426e89e53e7e91d9d796c7156a111a8c1e6ca32cd49	1
0x10000138000	0x100000	0	unnamed-descriptor-candidate	0	3a9d81783c1bc77019adb34c2b723f776cc43d65d55cb5c3bbc5c9cc5cfee3ba	1
0x10000240000	0x8000	0	unnamed-descriptor-candidate	1	6e73a999e97199317e58a5b7f716c9f2abc8a4a271e3eab4e3101d1f79901a19	1
0x10000250000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000260000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000270000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000280000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000290000	0xc0000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
