va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	342eb5c0a4c91f2b5f3d2f9ec26eee0167c2edd49affef23c2974c4f84a8baad	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	2bd7a41b87077a68dfbab50c242d27aea06ea5fdfcfc2526c90b9085177a0646	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	a08dffe1a7b091abc685895d8aaaf149d33d17cf84f43f09d3690c9bc9721ffc	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	9fa5c3147fa0c8ead99e5965629d6fe2b660b95669dddfb55f384e1b1db1f50b	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	b355fb770b6a3c5efc7b7dcdc322b756c43880642f88cd022ecffb8d0d67c58d	1
0x10000018400	0x20000	0	unnamed-descriptor-candidate	0	8138766ff73c000aa7936c5252d7241b1b287eec6d457b2a58d6a67420864fa5	1
0x10000018600	0x20000	0	unnamed-descriptor-candidate	0	90f202e2c97e310dc79e3dc07047f5d3e48166fb2af3335a2c69c7676791fec6	1
0x10000018700	0x20000	0	unnamed-descriptor-candidate	0	f8b5c872b80c42687b1262fd7a03e55cd1d50a58e67ada201153b2a5895f494d	1
0x10000018800	0x20000	0	unnamed-descriptor-candidate	0	344415ae526bbb92f609f23fc0aa8da310b974eedd55619e61dc219daa425800	1
0x10000018900	0x20000	0	unnamed-descriptor-candidate	0	27db97e471dddf419877721207c84c8132bf4855de331645c81cd20d2fec8d1f	1
0x10000019900	0x20000	0	unnamed-descriptor-candidate	0	11a67e3c32625774af67064588019b831decbab1e6b3f61d5be36b42f0aafc42	1
0x10000019a00	0x20000	0	unnamed-descriptor-candidate	0	5f0a4a6140efc38368a1323259c8b876115a6af9fe1bea08156815e0221258de	1
0x10000019b00	0x20000	0	unnamed-descriptor-candidate	0	9e9730212c9a503d320b75389bf2832743294b5b6ae293d0d29004611d4aec47	1
0x10000019c00	0x20000	0	unnamed-descriptor-candidate	0	85f8b6e697ca378b4b469170f24b7a7a5e9d824607e856db3408f30d0c11040a	1
0x1000001a400	0x20000	0	unnamed-descriptor-candidate	0	8078c4e33cce74cd6df3df22a01c373a3974c553a07671e2c71b10b802455b70	1
0x1000001a500	0x20000	0	unnamed-descriptor-candidate	0	c903795624a0224cb7daeac17f259943c6084fd45ff48aa2105b2611832afd77	1
0x1000001c500	0x20000	0	unnamed-descriptor-candidate	0	50b854df626c1ecc54a12eef0e8f5502f266e94c9a81202f0393f28c2e60a319	1
0x10000040000	0x10000	0	unnamed-descriptor-candidate	1	5314e7cc29982aec4b627dad9781e70e5f6eca176c735d28280405511a3613e3	1
0x10000058000	0x20000	0	unnamed-descriptor-candidate	1	fa43239bcee7b97ca62f007cc68487560a39e19f74f3dde7486db3f98df8e471	1
0x10000080000	0x74000	0	unnamed-descriptor-candidate	0	f1bf8fab9ae19e358c4f82f2a5604c64bd996c3bd2fb5706119a3a17b4e31dc8	1
0x100000f8000	0x8000	0	unnamed-descriptor-candidate	1	2cf049c7461d1e3d075ebe896ae9faaacc437928a4b6c0f135cacf066b5c8bc1	1
0x10000108000	0x8000	0	unnamed-descriptor-candidate	1	f78ba3858a505f356ee077f3c7ad1546c1743e1ee464c9bdba0871e284be9ac0	1
0x10000118000	0x8000	0	unnamed-descriptor-candidate	1	d7242d3ccdafd760232edfde67dfdefed9881f67a6ea937c30e431113f7136f7	1
0x10000128000	0x8000	0	clear-color-arena	1	4879bbfd84282db331cf9078e67235c162512013d5a23bf7a8188910ba000da7	1
0x10000138000	0x100000	0	unnamed-descriptor-candidate	0	4b34af25711f378b25134071bcc8b642c441051e61024cac40b9bbd603d77eba	1
0x10000240000	0x8000	0	unnamed-descriptor-candidate	1	6e73a999e97199317e58a5b7f716c9f2abc8a4a271e3eab4e3101d1f79901a19	1
0x10000250000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000260000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000270000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000280000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000290000	0xc0000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
