va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	342eb5c0a4c91f2b5f3d2f9ec26eee0167c2edd49affef23c2974c4f84a8baad	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	686133683f0887847899a385b8dcc6e0a73d516d7f6d0087769bacc64e6d0130	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	b8a8be461284ff25cefc39839cd86e1ad7a75dcb9700dff0c7430d67ad0b4597	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	a9cbaf2fe167f35febb437fd192caf65aad24bce4bc9969e0494e7ed6d97bd3e	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	85623becef454610ef3d6003f512c92df236b10522e0f9c47959a2e40c1dee80	1
0x10000018400	0x20000	0	unnamed-descriptor-candidate	0	70996195a7438c369a83a27ead7e5293514caf6e8f9a81767d8347619fdd0100	1
0x10000018600	0x20000	0	unnamed-descriptor-candidate	0	db84f9ba58ad5ca171c78242452fc2af2434cd27e0d28c095bd500dab5a2eedb	1
0x10000018700	0x20000	0	unnamed-descriptor-candidate	0	54441dec12624ae68a34e1310ea385278cd4fd9bd315cefd829770afdeab15dc	1
0x10000018800	0x20000	0	unnamed-descriptor-candidate	0	c69094d8b5ca895bd05111eccb8e00f20eb5246d414a18f68dc5d28d0d1074d7	1
0x10000018900	0x20000	0	unnamed-descriptor-candidate	0	9c5eb8f627129452bd4b049140971c9bbfbf1dba05d624b58ce5a2780f2c4525	1
