va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	342eb5c0a4c91f2b5f3d2f9ec26eee0167c2edd49affef23c2974c4f84a8baad	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	2bd7a41b87077a68dfbab50c242d27aea06ea5fdfcfc2526c90b9085177a0646	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	b8a8be461284ff25cefc39839cd86e1ad7a75dcb9700dff0c7430d67ad0b4597	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	65080bd2a807961ab6d97c33bd2bb568fa7ed0a52bb4cef3bb3d2c265a7bec1e	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	50a3b85631f269ab29f6cc6327a19df1be32979d0384664af2c3bc526ab69666	1
0x10000018400	0x20000	0	unnamed-descriptor-candidate	0	8bed29b5f7f0d85d7eb8e19940294b73fb0e989bbb43ed7cbaa8b7dd940a72f8	1
0x10000018600	0x20000	0	unnamed-descriptor-candidate	0	4de5a9008ddf4f75b2fcdb8eb1a2882fa0880ca7e2cf11c9e30fd4f22717f9bd	1
0x10000018700	0x20000	0	unnamed-descriptor-candidate	0	f574be8d11757067d17466c138d6391d13a4313edf2f0d726168621e175405d7	1
0x10000018800	0x20000	0	unnamed-descriptor-candidate	0	587ed79c47de5c89db2bee5b16b9df82d329bcdf91c7c4a0d76f2aa2e948090c	1
0x10000018900	0x20000	0	unnamed-descriptor-candidate	0	2e24cf56b70dd5c7d887d30ff88d294e96a2fc820ee8eccfc29d9b2c073c2176	1
0x10000019900	0x20000	0	unnamed-descriptor-candidate	0	edaa9f64fc6342ddb8155dce94a66b2a338106658a60a20971efb6f3c3af0b91	1
0x10000019a00	0x20000	0	unnamed-descriptor-candidate	0	aa4b448e42b8ad5478da1bd53719af20757b21c2ad4f791be8acc7111c91388f	1
0x10000019b00	0x20000	0	unnamed-descriptor-candidate	0	ccaa4dff1a2d207b5a1f0344f22faa727d9098509de9ffe25c05fddf401c135b	1
0x10000019c00	0x20000	0	unnamed-descriptor-candidate	0	c326d09cd4e9c97470973c99d292e3b72410710c84a8f92080f99011198a63d7	1
0x1000001a400	0x20000	0	unnamed-descriptor-candidate	0	c3f1d409a6ceae51ead33d0aa0a4d33ca6a2bbbf5b6e2b6b796531f8806399ac	1
0x1000001a500	0x20000	0	unnamed-descriptor-candidate	0	a6b4d0f2995050557874d49c91771a42bd502756d232b222325811299baee90d	1
0x1000001c500	0x20000	0	unnamed-descriptor-candidate	0	c838ba8ccaba945600015d1a4729d5f12359f0bf7fc273dd12625868698cdb8d	1
0x10000040000	0x10000	0	unnamed-descriptor-candidate	1	5314e7cc29982aec4b627dad9781e70e5f6eca176c735d28280405511a3613e3	1
0x10000058000	0x20000	0	unnamed-descriptor-candidate	1	fa43239bcee7b97ca62f007cc68487560a39e19f74f3dde7486db3f98df8e471	1
0x10000080000	0x74000	0	unnamed-descriptor-candidate	0	f1bf8fab9ae19e358c4f82f2a5604c64bd996c3bd2fb5706119a3a17b4e31dc8	1
0x100000f8000	0x8000	0	unnamed-descriptor-candidate	1	2cf049c7461d1e3d075ebe896ae9faaacc437928a4b6c0f135cacf066b5c8bc1	1
0x10000108000	0x8000	0	unnamed-descriptor-candidate	1	006d264ca55665509f35ee78943c06fc455bf8eb63aa855dd0885d275b94ffb1	1
0x10000118000	0x8000	0	unnamed-descriptor-candidate	1	d7242d3ccdafd760232edfde67dfdefed9881f67a6ea937c30e431113f7136f7	1
0x10000128000	0x8000	0	clear-color-arena	1	ffe2bad46a38df83ec0cc426e89e53e7e91d9d796c7156a111a8c1e6ca32cd49	1
0x10000138000	0x100000	0	unnamed-descriptor-candidate	0	cf15e47ddae484b7de00bbd6a57b7cf157b0b9304d9b54546103cfad956cda6c	1
0x10000240000	0x8000	0	unnamed-descriptor-candidate	1	6e73a999e97199317e58a5b7f716c9f2abc8a4a271e3eab4e3101d1f79901a19	1
0x10000250000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000260000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000270000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000280000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000290000	0xc0000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
