va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	e84130c71eb7d8274a451a3d5a4a9763a1fb2facd7e8ca5162e4d1fb44b83eda	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	e87a35de5ebfdbe5b7e1de96fca91cc5c3aefc56c8f9cc85ac297b5dde767183	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	e271a2bf4461e6046ac45d2e249acfb7bb87bb5e97e4c3513577e7f32f95ce6a	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	df02d5dd449b15df99bb51f51b3d5432ea27aac23d7b2792b69d910958bee551	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	1bb30d0cfc2ce51141bcac775aa042ca6de4077f0b03b504d6b462c528f37e67	1
0x10000018400	0x20000	0	unnamed-descriptor-candidate	0	1b344bcf190ccf8f3a1b38e9ff70549024c1948f8bfb29cd10dcbd6b04640eea	1
0x10000018600	0x20000	0	unnamed-descriptor-candidate	0	309a48a41097d00834e564578e3e627c49d25d2b95a83422f253fadabb23567f	1
0x10000018700	0x20000	0	unnamed-descriptor-candidate	0	c2e0c7212d0e34513cac1f7024792c468eaa452bb54747a6f2e3eb6fed081d4c	1
0x10000018800	0x20000	0	unnamed-descriptor-candidate	0	351ea4211a81ab262f868c499be3f5a04b3592283b3420a042c214a6fc087cc7	1
0x10000018900	0x20000	0	unnamed-descriptor-candidate	0	84634f0267c6deea6bcbdc8f308561dc9863d6f9db0c8f721427ddd280b6eb95	1
0x10000019900	0x20000	0	unnamed-descriptor-candidate	0	06762a33500341aca9205de75854c47ebff6a280966c812cf16a02585a86e333	1
0x10000019a00	0x20000	0	unnamed-descriptor-candidate	0	05c981362eca95e0e63310ed851d3d34209307a8e11fb53bd9abf22d98eccb9e	1
0x10000019b00	0x20000	0	unnamed-descriptor-candidate	0	371c09c6f42dad42433a267f2e411b95cef3edf0de6d739f6b6c800786d61b4a	1
0x10000019c00	0x20000	0	unnamed-descriptor-candidate	0	8b93c996992fefe717332fa455a20f1e7b3f9c68b3baffcfed12b002e7087607	1
0x1000001a400	0x20000	0	unnamed-descriptor-candidate	0	9e9e7fcc160a256b8da7c747205290b679282834fb74101d12bc187be0699e5d	1
0x1000001a500	0x20000	0	unnamed-descriptor-candidate	0	571489fddb685d7d116bc10a908ac2f33251ba4e7c681352b807797088445cbe	1
0x10000040000	0x10000	0	unnamed-descriptor-candidate	1	ffbe86a6d5303e12f826f451a38bd4657c61fca2c778b521970cdd1a87d47287	1
0x10000058000	0x20000	0	unnamed-descriptor-candidate	1	fa43239bcee7b97ca62f007cc68487560a39e19f74f3dde7486db3f98df8e471	1
0x10000080000	0x4200	0	unnamed-descriptor-candidate	1	75fa1090fb6e3f2a6eca88175d5b500dadcabdf08074133aafa56c232d9b216f	1
0x10000090000	0x74000	0	unnamed-descriptor-candidate	0	f1bf8fab9ae19e358c4f82f2a5604c64bd996c3bd2fb5706119a3a17b4e31dc8	1
0x10000108000	0x8000	0	unnamed-descriptor-candidate	1	2cf049c7461d1e3d075ebe896ae9faaacc437928a4b6c0f135cacf066b5c8bc1	1
0x10000118000	0x8000	0	unnamed-descriptor-candidate	1	8efab4ac0bd8befde007dbfe4750d954197d739e668f560f7d275b2ea246fb9e	1
0x10000128000	0x8000	0	clear-color-arena	1	7b5f187164110d5c08db698c29511c1266d8da1a256a2de21e9df5d0912247b0	1
0x10000138000	0x8000	0	unnamed-descriptor-candidate	1	7074b5452862fc756c1ffeb7eb57dc260bd550d42f34f9347cff8563ce4cc30c	1
0x10000148000	0x100000	0	unnamed-descriptor-candidate	0	4b34af25711f378b25134071bcc8b642c441051e61024cac40b9bbd603d77eba	1
0x10000250000	0x8000	0	unnamed-descriptor-candidate	1	6e73a999e97199317e58a5b7f716c9f2abc8a4a271e3eab4e3101d1f79901a19	1
0x10000260000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000270000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000280000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000290000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x100002a0000	0xc0000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
