va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	342eb5c0a4c91f2b5f3d2f9ec26eee0167c2edd49affef23c2974c4f84a8baad	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	2bd7a41b87077a68dfbab50c242d27aea06ea5fdfcfc2526c90b9085177a0646	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	b8a8be461284ff25cefc39839cd86e1ad7a75dcb9700dff0c7430d67ad0b4597	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	123ec99aa8d1310e91487af2cb2c12f217c84686ae12c0915e74e989de7152f1	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	35bf6f3b48dc6015a36b2f1152124e66725e5dcde3776925a222b24a6a31df6e	1
0x10000018400	0x20000	0	unnamed-descriptor-candidate	0	07f5c98b69cc2c851e9a60158588b52e9e0a05f8c986eb04a0dc8f2d30cc24b8	1
0x10000018600	0x20000	0	unnamed-descriptor-candidate	0	4fdd06d69794d2460a3ef0a98109c950700bfd7390bf2c88d66ab88161a9b43c	1
0x10000018700	0x20000	0	unnamed-descriptor-candidate	0	6722aba6fb2169841815157f83cfb964e4710fd4f529037f6e872c11155b967b	1
0x10000018800	0x20000	0	unnamed-descriptor-candidate	0	c615892e55e8a5958d6267f0cf97c65174cc5ec4ee4bf1fc571187d656e44cce	1
0x10000018900	0x20000	0	unnamed-descriptor-candidate	0	502665cea0745fd846b6ed16b4eac44979445cd2e142141e3ccc6b36e7a9afe5	1
0x10000019900	0x20000	0	unnamed-descriptor-candidate	0	88a202dfd0b5a1d777a3a2e1f0e023be04a03ce28291714804d50321f1c37eed	1
0x10000019a00	0x20000	0	unnamed-descriptor-candidate	0	475776fcf1cc4abf12dc14072c81315aaf858b9eb5d4307f511a8b475c11db45	1
0x10000019b00	0x20000	0	unnamed-descriptor-candidate	0	90a8e5e698b7f0f899c645afff317b0f99f467de6c87fef0158a56c9f816f0bf	1
0x10000019c00	0x20000	0	unnamed-descriptor-candidate	0	2df6a9d7fc635fda3d5604459806dad31658073f7890716ba639280a3869b91a	1
0x1000001a400	0x20000	0	unnamed-descriptor-candidate	0	c740db6cc55123d62b780bd96a1991bac522c4dfa47ec68b72de7a7694f50697	1
0x1000001a500	0x20000	0	unnamed-descriptor-candidate	0	4fc1d4c2f377db293a3f9664227e0c479f56574745ec8dbace57b8d007d2ee7c	1
0x1000001c500	0x20000	0	unnamed-descriptor-candidate	0	1e71986bbbd7edd8f5f7f4f112de07e66647c6f73794a94b9aa7f9a2068f7b6a	1
0x10000040000	0x10000	0	unnamed-descriptor-candidate	1	5314e7cc29982aec4b627dad9781e70e5f6eca176c735d28280405511a3613e3	1
0x10000058000	0x20000	0	unnamed-descriptor-candidate	1	fa43239bcee7b97ca62f007cc68487560a39e19f74f3dde7486db3f98df8e471	1
0x10000080000	0x74000	0	unnamed-descriptor-candidate	0	f1bf8fab9ae19e358c4f82f2a5604c64bd996c3bd2fb5706119a3a17b4e31dc8	1
0x100000f8000	0x8000	0	unnamed-descriptor-candidate	1	2cf049c7461d1e3d075ebe896ae9faaacc437928a4b6c0f135cacf066b5c8bc1	1
0x10000108000	0x8000	0	unnamed-descriptor-candidate	1	05b537e89fcffa566ce5f567be41d1ad7f09a0194f4d713f542fc347c9e9028c	1
0x10000118000	0x8000	0	unnamed-descriptor-candidate	1	d7242d3ccdafd760232edfde67dfdefed9881f67a6ea937c30e431113f7136f7	1
0x10000128000	0x8000	0	clear-color-arena	1	ffe2bad46a38df83ec0cc426e89e53e7e91d9d796c7156a111a8c1e6ca32cd49	1
0x10000138000	0x100000	0	unnamed-descriptor-candidate	0	4b34af25711f378b25134071bcc8b642c441051e61024cac40b9bbd603d77eba	1
0x10000240000	0x8000	0	unnamed-descriptor-candidate	1	6e73a999e97199317e58a5b7f716c9f2abc8a4a271e3eab4e3101d1f79901a19	1
0x10000250000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000260000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000270000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000280000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000290000	0xc0000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
