va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	d1a6bbf8a074796770443bc22ef9e03feeb519513431c997caee2281fb46915b	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	74def23deb2f7452d540fcc0ac07586dc259809f7116a92a705bb8a6d5e8942c	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	4ee35c21ba926bc57cb6bb114f93d37b46a29b44849870c74f003e907ab7e8fb	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	d4dde4c67a85476c9651c3736f57074449f53250e2668b6a924321eff5705609	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	586592caceb18095e327bc0c71737bb3b85156cb7c9ee5ba45b0689e007e4fb3	1
0x10000018400	0x20000	0	unnamed-descriptor-candidate	0	38d775439403ec5b59c0778dee61a988c9ff3d567df6221cfe8609b3224e0c3b	1
0x10000018600	0x20000	0	unnamed-descriptor-candidate	0	20eb49995c4ef8309d81d57fb7202c98966c0713edd3a86543b31d19a3095e01	1
0x10000018700	0x20000	0	unnamed-descriptor-candidate	0	4038702ea494d48701bfe1db92947644d5dee37afab794c692750923c7585139	1
