va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	342eb5c0a4c91f2b5f3d2f9ec26eee0167c2edd49affef23c2974c4f84a8baad	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	2bd7a41b87077a68dfbab50c242d27aea06ea5fdfcfc2526c90b9085177a0646	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	a08dffe1a7b091abc685895d8aaaf149d33d17cf84f43f09d3690c9bc9721ffc	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	35bdcd3adf85812eda52f226e4dbf683deb6593e25b0834aafad22225d0b0673	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	ef05fb29a124b84c5b92e0006ef727a9c9f71f63507c9bfa36cfcc82722d728e	1
0x1000001a200	0x20000	0	unnamed-descriptor-candidate	0	6b8f3f22b9040132a8de79b6791c9ffe44d770754a2d657d275fe9790e3f79c7	1
0x1000001a400	0x20000	0	unnamed-descriptor-candidate	0	6ada912d19022f6ed36565a7d24e8a9e73eff473dcd4909e17dc581818c8afda	1
0x1000001a600	0x20000	0	unnamed-descriptor-candidate	0	309a48a41097d00834e564578e3e627c49d25d2b95a83422f253fadabb23567f	1
0x1000001a700	0x20000	0	unnamed-descriptor-candidate	0	c2e0c7212d0e34513cac1f7024792c468eaa452bb54747a6f2e3eb6fed081d4c	1
0x1000001a800	0x20000	0	unnamed-descriptor-candidate	0	351ea4211a81ab262f868c499be3f5a04b3592283b3420a042c214a6fc087cc7	1
0x1000001a900	0x20000	0	unnamed-descriptor-candidate	0	84634f0267c6deea6bcbdc8f308561dc9863d6f9db0c8f721427ddd280b6eb95	1
0x1000001b900	0x20000	0	unnamed-descriptor-candidate	0	06762a33500341aca9205de75854c47ebff6a280966c812cf16a02585a86e333	1
0x1000001ba00	0x20000	0	unnamed-descriptor-candidate	0	05c981362eca95e0e63310ed851d3d34209307a8e11fb53bd9abf22d98eccb9e	1
0x1000001bb00	0x20000	0	unnamed-descriptor-candidate	0	371c09c6f42dad42433a267f2e411b95cef3edf0de6d739f6b6c800786d61b4a	1
0x1000001bc00	0x20000	0	unnamed-descriptor-candidate	0	8b93c996992fefe717332fa455a20f1e7b3f9c68b3baffcfed12b002e7087607	1
0x1000001c400	0x20000	0	unnamed-descriptor-candidate	0	9e9e7fcc160a256b8da7c747205290b679282834fb74101d12bc187be0699e5d	1
0x1000001c500	0x20000	0	unnamed-descriptor-candidate	0	571489fddb685d7d116bc10a908ac2f33251ba4e7c681352b807797088445cbe	1
0x10000040000	0x10000	0	unnamed-descriptor-candidate	1	5314e7cc29982aec4b627dad9781e70e5f6eca176c735d28280405511a3613e3	1
0x10000058000	0x20000	0	unnamed-descriptor-candidate	1	fa43239bcee7b97ca62f007cc68487560a39e19f74f3dde7486db3f98df8e471	1
0x10000080000	0x74000	0	unnamed-descriptor-candidate	0	f1bf8fab9ae19e358c4f82f2a5604c64bd996c3bd2fb5706119a3a17b4e31dc8	1
0x100000f8000	0x8000	0	unnamed-descriptor-candidate	1	0275c46f89ae646454bb03196302b13b1c5f988690138cb4079ca4dbff484104	1
0x10000108000	0x8000	0	unnamed-descriptor-candidate	1	04cf264d105f28319cc5b2ed390d6275489e5e37224c9f11633a8306f63d72a0	1
0x10000118000	0x8000	0	unnamed-descriptor-candidate	1	d7242d3ccdafd760232edfde67dfdefed9881f67a6ea937c30e431113f7136f7	1
0x10000128000	0x8000	0	clear-color-arena	1	4879bbfd84282db331cf9078e67235c162512013d5a23bf7a8188910ba000da7	1
0x10000138000	0x100000	0	unnamed-descriptor-candidate	0	4b34af25711f378b25134071bcc8b642c441051e61024cac40b9bbd603d77eba	1
0x10000240000	0x8000	0	unnamed-descriptor-candidate	1	6e73a999e97199317e58a5b7f716c9f2abc8a4a271e3eab4e3101d1f79901a19	1
0x10000250000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000260000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000270000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000280000	0x8000	0	unnamed-descriptor-candidate	1	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x10000290000	0xc0000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
