va	size	handle	role	content_captured	sha256	tries
0x0	0x10000	0	unnamed-descriptor-candidate	0	509b068ecd4c21a737ef7f976344651fc1ec3139ff4356a2b3b1b37b9e870d2d	1
0x18000	0x8000	0	vdm-command-state	1	342eb5c0a4c91f2b5f3d2f9ec26eee0167c2edd49affef23c2974c4f84a8baad	1
0x28000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x38000	0x8000	0	unnamed-descriptor-candidate	0	c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479	1
0x48000	0x8000	0	unnamed-descriptor-candidate	0	76e983b8f2356ce8cbb86c8ed435cae84f3e6d93d075011e1f6d8e78ef6450e0	1
0x58000	0x8000	0	fixed-function-render-state	1	05f7cbfd0f5724926333edefe0e08cd7e75146477f1a9be9bc98cf218db62ca9	1
0x68000	0x88e0	0	tiling-state	1	fa098bf26875d39b04d11860b717b095719ddc4082e9237ce4a8880e9b490891	1
0x6f00000000	0x3800	0	unnamed-descriptor-candidate	0	90b446c6472fde83a94e15bcef5e4b2ea20522db2c242448f6a825bb2a3f42b1	1
0x10000000000	0x10000	0	unnamed-descriptor-candidate	0	b8a8be461284ff25cefc39839cd86e1ad7a75dcb9700dff0c7430d67ad0b4597	1
0x10000018000	0x20000	0	unnamed-descriptor-candidate	0	1b8350da92da0cf37da998278ce0694dbb893e73cfc4a325c6062fcba4ced34f	1
0x10000018200	0x20000	0	mrt-attachment-descriptors	1	97e0c14a471f7761406d4e8b35d2c43a0332846fb1f0bb43f2ef125a6c3aeb0b	1
0x1000001a200	0x20000	0	unnamed-descriptor-candidate	0	506d49de19df71d1d90080e718b4c2d0daa04f9786912f99034af7422ccab440	1
0x1000001a400	0x20000	0	unnamed-descriptor-candidate	0	62489497fc171c5c094d8684d6263a7119075ac703c5809e8a78829b2d2a0acd	1
0x1000001a600	0x20000	0	unnamed-descriptor-candidate	0	309a48a41097d00834e564578e3e627c49d25d2b95a83422f253fadabb23567f	1
0x1000001a700	0x20000	0	unnamed-descriptor-candidate	0	c2e0c7212d0e34513cac1f7024792c468eaa452bb54747a6f2e3eb6fed081d4c	1
0x1000001a800	0x20000	0	unnamed-descriptor-candidate	0	351ea4211a81ab262f868c499be3f5a04b3592283b3420a042c214a6fc087cc7	1
