revalidating 1251 cases (outcomes=fault,hang,nondeterministic) x5 repeats
groups=121 cases=140879
  R   rq_cdist   sr_read_wide     a0    160 cases  290.93s INERT
  R   rq_cdist   sr_read_wide     a1      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a2      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a3      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a4      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a5      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a6      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a7      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a8      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a9      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a10      0 cases    0.00s INERT
  R   rq_cdist   sr_read_wide     a11      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a0      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a1      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a2      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a3      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a4      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a5      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a6      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a7      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a8      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a9      0 cases    0.00s INERT
  R   rq_cdist   rtq_dualsrc      a10      0 cases    0.00s INERT
  R   rq_cdist   rtq_pred         a0      0 cases    0.00s INERT
  R   rq_cdist   rtq_pred         a1      0 cases    0.00s INERT
  R   rq_cdist   rtq_pred         a2      0 cases    0.00s INERT
  R   rq_cdist   rtq_pred         a3      0 cases    0.00s INERT
  R   rq_cdist   rtq_pred         a4      0 cases    0.00s INERT
  R   rq_cdist   rtq_pred         a5      0 cases    0.00s INERT
  R   rq_cdist   rtq_pred         a6      0 cases    0.00s INERT
  R   rq_cdist   rtq_pred         a7      0 cases    0.00s INERT
  R   rq_cdist   rtq_state_move   a0      0 cases    0.00s INERT
  R   rq_cdist   rtq_state_move   a1      0 cases    0.00s INERT
  R   rq_cdist   rtq_state_move   a2      0 cases    0.00s INERT
  R   rq_cdist   rtq_state_move   a3      0 cases    0.00s INERT
  R   rq_cdist   rtq_state_move   a4      0 cases    0.00s INERT
  R   rq_cdist   rtq_state_move   a5      0 cases    0.00s INERT
  R   rq_cdist   rtq_state_move   a6      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a0     80 cases  137.15s ABORTED: cascade
  R   rq_cdist   ray_move_copy6   a1      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a2      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a3      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a4      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a5      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a6      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a7      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a8      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a9      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a10      0 cases    0.00s INERT
  R   rq_cdist   ray_move_copy6   a11      0 cases    0.00s INERT
  R   rq_cdist   ray_move_zero6   a0    320 cases  381.37s INERT
  R   rq_cdist   ray_move_zero6   a1      0 cases    0.00s INERT
  R   rq_cdist   ray_move_zero6   a2      0 cases    0.00s INERT
  R   rq_cdist   ray_move_zero6   a3      0 cases    0.00s INERT
  R   rq_cdist   ray_move_zero6   a4      0 cases    0.00s INERT
  R   rq_cdist   ray_move_zero6   a5      0 cases    0.00s INERT
  R   rq_cdist   ray_move_zero6   a6      0 cases    0.00s INERT
