### byte0 == 0x07 : 344 tokens, 183 files
  mnemonics: {'threadgroup_barrier': 280, 'mem_fence8': 36, 'link_save_restore': 28}
  b1   b2   b3   b4   b5   mnemonic              stage        count
  02   54   0c   02   00   threadgroup_barrier   fragment     81
  04   54   48   09   00   threadgroup_barrier   compute      54
  04   54   08   09   00   threadgroup_barrier   compute      43
  04   54   61   09   00   threadgroup_barrier   compute      28
  04   54   61   09   00   threadgroup_barrier   object       20
  00   54   00   81   00   link_save_restore     object       14
  00   54   00   81   ff   link_save_restore     object       14
  04   54   c4   02   00   threadgroup_barrier   mesh         13
  00   54   0c   80   00   mem_fence8            compute      11
  00   54   14   80   00   mem_fence8            compute      7
  02   54   01   00   00   threadgroup_barrier   fragment     4
  00   54   15   80   00   mem_fence8            compute      3
  00   54   09   80   00   mem_fence8            compute      3
  04   54   61   09   00   threadgroup_barrier   dec2_n7_tg_s_min  2
  04   54   61   09   00   threadgroup_barrier   dec2_n7_tg_u_add  2
  04   54   61   09   00   threadgroup_barrier   dec2_n7_tg_u_cmpxchg  2
  04   54   61   09   00   threadgroup_barrier   dec2_n7_tg_u_xchg  2
  04   54   48   09   00   threadgroup_barrier   dec_rtq_baryx  2
  04   54   08   09   00   threadgroup_barrier   dec_rtq_baryx  2
  00   54   16   80   00   mem_fence8            compute      1
  00   54   0a   80   00   mem_fence8            compute      1
  02   54   0c   02   00   threadgroup_barrier   dec2_n9_f_adduu  1
  02   54   0c   02   00   threadgroup_barrier   dec2_n9_f_addvv  1
  02   54   0c   02   00   threadgroup_barrier   dec2_n9_f_flat  1
  02   54   0c   02   00   threadgroup_barrier   dec2_n9_f_muluu  1
  02   54   0c   02   00   threadgroup_barrier   dec2_n9_f_mulvv  1
  02   54   0c   02   00   threadgroup_barrier   dec2_n9_f_nopersp  1
  02   54   0c   02   00   threadgroup_barrier   dec2_n9_f_persp  1
  00   54   0c   80   00   mem_fence8            dec_rtq_baryx  1
  00   54   0c   80   00   mem_fence8            dec_rtq_dist  1
  04   54   48   09   00   threadgroup_barrier   dec_rtq_dist  1
  04   54   08   09   00   threadgroup_barrier   dec_rtq_dist  1
  00   54   09   80   00   mem_fence8            dec_rtq_geom  1
  04   54   48   09   00   threadgroup_barrier   dec_rtq_geom  1
  04   54   08   09   00   threadgroup_barrier   dec_rtq_geom  1
  00   54   09   80   00   mem_fence8            dec_rtq_inst  1
  04   54   48   09   00   threadgroup_barrier   dec_rtq_inst  1
  04   54   08   09   00   threadgroup_barrier   dec_rtq_inst  1
  00   54   0c   80   00   mem_fence8            dec_rtq_prim  1
  04   54   48   09   00   threadgroup_barrier   dec_rtq_prim  1
  04   54   08   09   00   threadgroup_barrier   dec_rtq_prim  1
  00   54   0c   80   00   mem_fence8            dec_rtq_type  1
  04   54   48   09   00   threadgroup_barrier   dec_rtq_type  1
  04   54   08   09   00   threadgroup_barrier   dec_rtq_type  1
  00   54   09   80   00   mem_fence8            dec_rtq_uinst  1
  04   54   48   09   00   threadgroup_barrier   dec_rtq_uinst  1
  04   54   08   09   00   threadgroup_barrier   dec_rtq_uinst  1
  02   54   c0   00   00   threadgroup_barrier   fragment     1
  02   54   30   00   00   threadgroup_barrier   fragment     1
  00   54   06   80   00   mem_fence8            compute      1
  00   54   0c   80   00   mem_fence8            fragment     1
  04   54   48   09   00   threadgroup_barrier   fragment     1
  04   54   08   09   00   threadgroup_barrier   fragment     1
  00   54   0c   80   00   mem_fence8            vertex       1
  04   54   48   09   00   threadgroup_barrier   vertex       1
  04   54   08   09   00   threadgroup_barrier   vertex       1

### byte0 == 0x57 : 625 tokens, 84 files
  mnemonics: {'vary_store': 625}
  b1   b2   b3   b4   b5   mnemonic     len  stage        count
  16   54   00   00   40   vary_store    8   vertex       65
  26   54   02   20   40   vary_store    8   vertex       64
  86   54   06   60   40   vary_store    8   vertex       50
  46   54   04   40   40   vary_store    8   vertex       48
  06   54   00   80   40   vary_store    8   vertex       42
  06   54   02   a0   40   vary_store    8   vertex       40
  06   54   04   c0   40   vary_store    8   vertex       36
  06   54   06   e0   40   vary_store    8   vertex       32
  06   56   0a   a0   40   vary_store    8   vertex       10
  06   55   08   80   40   vary_store    8   vertex       9
  06   54   02   40   40   vary_store    8   vertex       9
  46   54   04   60   40   vary_store    8   vertex       9
  06   54   06   c0   40   vary_store    8   vertex       8
  46   54   04   20   40   vary_store    8   vertex       6
  86   54   06   40   40   vary_store    8   vertex       6
  86   54   08   80   40   vary_store    8   vertex       6
  06   54   06   a0   40   vary_store    8   vertex       6
  06   56   0a   e0   40   vary_store    8   vertex       6
  26   54   02   00   40   vary_store    8   vertex       5
  06   55   08   40   40   vary_store    8   vertex       5
  06   54   0a   a0   40   vary_store    8   vertex       5
  06   56   0c   c0   40   vary_store    8   vertex       5
  06   56   0e   e0   40   vary_store    8   vertex       5
  86   54   04   40   40   vary_store    8   vertex       5
  06   54   04   e0   40   vary_store    8   vertex       5
  06   54   0a   80   40   vary_store    8   vertex       4
  46   54   04   00   40   vary_store    8   vertex       4
  06   55   06   60   40   vary_store    8   vertex       4
  06   54   02   c0   40   vary_store    8   vertex       4
  06   54   08   a0   40   vary_store    8   vertex       4
  06   54   08   80   40   vary_store    8   vertex       4
  06   55   0e   e0   40   vary_store    8   vertex       4
  14   54   00   00   01   vary_store    8   fragment     3
  86   54   06   20   40   vary_store    8   vertex       3
  16   54   00   60   40   vary_store    8   vertex       3
  06   54   0c   80   40   vary_store    8   vertex       3
  06   56   0a   60   40   vary_store    8   vertex       3
  06   54   0c   c0   40   vary_store    8   vertex       3
  46   54   02   20   40   vary_store    8   vertex       3
  16   54   00   40   40   vary_store    8   vertex       2
  06   54   06   00   41   vary_store    8   vertex       2
  16   54   0a   60   40   vary_store    8   vertex       2
  26   54   0c   c0   40   vary_store    8   vertex       2
  26   54   08   80   40   vary_store    8   vertex       2
  26   54   00   e0   40   vary_store    8   vertex       2
  86   54   0e   e0   40   vary_store    8   vertex       2
  06   55   08   60   40   vary_store    8   vertex       2
  46   54   0c   a0   40   vary_store    8   vertex       2
  26   54   0e   e0   40   vary_store    8   vertex       2
  06   55   0c   c0   40   vary_store    8   vertex       2
  06   54   06   60   40   vary_store    8   vertex       2
  06   56   08   00   41   vary_store    8   vertex       2
  26   54   00   00   40   vary_store    8   vertex       2
  24   54   02   20   01   vary_store    8   fragment     1
  44   54   04   40   01   vary_store    8   fragment     1
  84   54   06   60   01   vary_store    8   fragment     1
  04   55   08   80   01   vary_store    8   fragment     1
  04   56   0a   80   01   vary_store    8   fragment     1
  04   56   0c   80   01   vary_store    8   fragment     1
  04   56   0e   80   01   vary_store    8   fragment     1
  06   56   0c   a0   40   vary_store    8   vertex       1
  06   55   08   c0   40   vary_store    8   vertex       1
  26   54   02   80   40   vary_store    8   vertex       1
  46   54   0c   c0   40   vary_store    8   vertex       1
  06   54   0e   e0   40   vary_store    8   vertex       1
  26   54   10   00   41   vary_store    8   vertex       1
  06   54   04   00   41   vary_store    8   vertex       1
  06   54   06   20   41   vary_store    8   vertex       1
  16   54   02   00   40   vary_store    8   vertex       1
  26   54   00   40   40   vary_store    8   vertex       1
  46   54   00   00   40   vary_store    8   vertex       1
  16   54   02   20   40   vary_store    8   vertex       1
  06   54   00   c0   40   vary_store    8   vertex       1
  06   54   00   a0   40   vary_store    8   vertex       1
  16   54   02   60   40   vary_store    8   vertex       1
