key	grade	label	bucket	checks
atomic_mem.addr_desc_hi	EMIT	hardware-run	SUPPORTED	agreement-vs-raw;coverage-keys-vs-raw
atomic_mem.amode	OTHER	untested	UNCHECKABLE	
atomic_mem.amode_hi	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.base_slot	OTHER	untested	UNCHECKABLE	
atomic_mem.idx_off	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.index_reg	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.oper_reg_hi	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.oper_reg_lo	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.ret_desc	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.ret_flag	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.rsv10	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.rsv11	EMIT	hardware-run	UNCHECKABLE	
atomic_mem.rsv3	OTHER	untested	UNCHECKABLE	
atomic_rmw.addr_desc_hi	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_rmw.amode	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_rmw.amode_hi	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.base_slot	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_rmw.idx_off	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.index_reg	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.op_msb	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_rmw.oper_reg_hi	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.oper_reg_lo	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.per_lane	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_rmw.ret_desc	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.ret_flag	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.rsv10	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.rsv11	EMIT	hardware-run	UNCHECKABLE	
atomic_rmw.rsv3	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_tg.amode	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_tg.data_desc	EMIT	hardware-run	UNCHECKABLE	
atomic_tg.op_desc	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_tg.ret_desc	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_tg.rsv10lo	OTHER	untested	SUPPORTED	EXP-0164-withheld-numbers
atomic_tg.rsv4	EMIT	hardware-run	UNCHECKABLE	
atomic_tg.rsv6	EMIT	hardware-run	UNCHECKABLE	
atomic_tg.rsv9	EMIT	hardware-run	UNCHECKABLE	
atomic_tg.xop_desc	EMIT	hardware-run	UNCHECKABLE	
b_alu10_lo6._instruction	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.dst	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.ext8	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.ext9	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.modA	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.modB	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.opsel_hi	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.outmod	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.srcA	OTHER	corpus-correlation	UNCHECKABLE	
b_alu10_lo6.src_flag	OTHER	corpus-correlation	UNCHECKABLE	
