run03 (forward) vs run04 (reverse case order)

field                    wave_audit's key (value, whole obs) keyed by (arm,value), whole obs    (arm,value), gputime_ns EXCLUDED
shift_amt_move.src_flag  1/2 disagree                       92/112 disagree                    0/112 disagree
b_alu10_lo7.src_flag     2/2 disagree                       6/6 disagree                       0/6 disagree
irotate.operands         268/320 disagree                   2818/3212 disagree                 0/3212 disagree
ibitcount.cache          2/2 disagree                       20/20 disagree                     0/20 disagree
ibitcount.dst            151/256 disagree                   782/1280 disagree                  0/1280 disagree
iunary.b1                203/256 disagree                   266/512 disagree                   0/512 disagree
iunary.opsel             246/256 disagree                   439/512 disagree                   0/512 disagree
cvt_f2i.b9               239/256 disagree                   1452/1536 disagree                 0/1536 disagree
cvt_f2i.signflag         247/256 disagree                   247/256 disagree                   0/256 disagree
