field                          arm        stage    disp     V  legal  moved hard
dev_scoreboard_fence.scope_flag fen_syn    compute    256     1    256      0 -
frag_color_store.store_mode    sm_blend   render    256     1    256      0 -
frag_color_store.store_mode    sm_depth   render    256     1    256      0 -
frag_color_store.store_mode    sm_dual    render    256     1    253      0 {'invalid_run': 3}
frag_color_store.store_mode    sm_r8      render    256     1    256      0 -
frag_color_store.store_mode    sm_samp    render    256     1    256      0 -
frag_color_store.store_mode    sm_u32     render    256     1    256      0 -
get_sr.dst_hi                  sr_c       compute      8     1      8      0 -
get_sr.dst_hi                  sr_dump    compute      8     1      8      0 -
get_sr.dst_hi                  sr_f       render      8     1      8      0 -
get_sr.dst_hi                  sr_f2      render      8     1      8      0 -
get_sr.dst_hi                  sr_hi      compute      8     1      8      0 -
get_sr.dst_hi                  sr_v       vertex      8     1      1      0 {'no_draw': 7}
get_sr.form                    sr_c       compute      2     1      2      0 -
get_sr.form                    sr_dump    compute      2     1      2      0 -
get_sr.form                    sr_f       render      2     1      2      0 -
get_sr.form                    sr_f2      render      2     1      2      0 -
get_sr.form                    sr_hi      compute      2     2      2      1 -
get_sr.form                    sr_v       vertex      2     1      2      0 -
iter.b9                        it_atsamp  render    256     1    256      0 -
iter.b9                        it_ps1     render    256     1    256      0 -
iter.b9                        it_ps4     render    256     1    256      0 -
iter.b9                        it_ps4b    render    256     1    256      0 -
mesh_out_src.sel               me_p2      mesh      256     1    127      0 {'no_draw': 129}
vtx_coord_xform.operand        vx_multi   vertex   1338     2    881      4 {'no_draw': 438, 'fault': 13, 'invalid_run': 6}
vtx_coord_xform.operand        vx_wide    vertex   1338    11   1096   1023 {'no_draw': 239, 'invalid_run': 2, 'fault': 1}
