### DESC-1 A18: RT attachment seg0 format word ###
RT r8unorm          seg0=f9680002
RT rgba8unorm       seg0=f6880a02
RT bgra8unorm       seg0=f60a0a02
RT r32float         seg0=f9688842
RT rgba8uint        seg0=f6884a02
RT rg11b10float     seg0=f8888942
RT rgb9e5float      seg0=f88889c2
RT bgr10_xr         seg0=f80aa982
RT rgba16float      seg0=f6888c82
### DESC-5 A18: sampled texture descriptor byte0/byte1 (word0) ###
FMT r8unorm                word0=79680022
FMT rgba8unorm             word0=76880a22
FMT bgra8unorm             word0=760a0a22
FMT b5g6r5unorm            word0=780a02e2
FMT a1bgr5unorm            word0=70530362
FMT abgr4unorm             word0=70530322
FMT bgr5a1unorm            word0=760a03a2
FMT rg16unorm              word0=794808e2
FMT rgba16unorm            word0=76880ca2
FMT r32float               word0=79688862
FMT rg11b10float           word0=78888962
FMT rgb9e5float            word0=788889e2
FMT bgr10_xr               word0=780aa9a2
FMT stencil8               word0=79684022
FMT depth32float_stencil8  word0=78008862
FMT astc_4x4               word0=f6881822
FMT astc_5x5               word0=f68818a2
FMT astc_8x8               word0=f68819e2
FMT astc_10x10             word0=f6881ae2
FMT astc_12x12             word0=f6881b62
FMT bc6h_rgbfloat          word0=f8889e62
FMT bc6h_rgbufloat         word0=f8889ea2
FMT eac_r11snorm           word0=f96836e2
FMT rgb10a2uint            word0=768849a2
### DESC-3 A18: sampler lodmax saturation + aniso8 ###
SAMP lodmax_14.1      000e0000 00000780 00000000 00000000
SAMP lodmax_15.875    000e0000 00000780 00000000 00000000
SAMP aniso_8          003e0000 00000780 00000000 00000000
SAMP aniso_32         000e0000 00000780 00000000 00000000
SAMP saddr_border     600e0000 00000780 00000000 00000000
SAMP saddr_clampzero  600e0000 00000780 00000000 00000000
### DESC-2 A18: 14-bit dims on 2darray + PBE not needed here ###
DIM arr16384     f6880a23 00000fff 00008000 40004010
DIM arr_a2048    76880a23 00001c00 00008000 01ffc010
XCONF_DONE
