FMT r8unorm                  word0=79680022 word1=00001c00
FMT r8snorm                  word0=79682022 word1=00001c00
FMT a8unorm                  word0=716d0022 word1=00001c00
FMT rg8unorm                 word0=794802a2 word1=00001c00
FMT rg8snorm                 word0=794822a2 word1=00001c00
FMT rgba8unorm               word0=76880a22 word1=00001c00
FMT rgba8snorm               word0=76882a22 word1=00001c00
FMT bgra8unorm               word0=760a0a22 word1=00001c00
FMT rgba8unorm_srgb          word0=76880a22 word1=00001c00
FMT bgra8unorm_srgb          word0=760a0a22 word1=00001c00
FMT b5g6r5unorm              word0=780a02e2 word1=00001c00
FMT a1bgr5unorm              word0=70530362 word1=00001c00
FMT abgr4unorm               word0=70530322 word1=00001c00
FMT bgr5a1unorm              word0=760a03a2 word1=00001c00
FMT r16unorm                 word0=79680262 word1=00001c00
FMT r16snorm                 word0=79682262 word1=00001c00
FMT rg16unorm                word0=794808e2 word1=00001c00
FMT rg16snorm                word0=794828e2 word1=00001c00
FMT rgba16unorm              word0=76880ca2 word1=00001c00
FMT rgba16snorm              word0=76882ca2 word1=00001c00
FMT r16float                 word0=79688262 word1=00001c00
FMT rg16float                word0=794888e2 word1=00001c00
FMT rgba16float              word0=76888ca2 word1=00001c00
FMT r32float                 word0=79688862 word1=00001c00
FMT rg32float                word0=79488c62 word1=00001c00
FMT rgba32float              word0=76888e22 word1=00001c00
FMT rgb10a2unorm             word0=768809a2 word1=00001c00
FMT bgr10a2unorm             word0=760a09a2 word1=00001c00
FMT rgb10a2uint              word0=768849a2 word1=00001c00
FMT rg11b10float             word0=78888962 word1=00001c00
FMT rgb9e5float              word0=788889e2 word1=00001c00
FMT bgr10_xr                 word0=780aa9a2 word1=00001c00
FMT bgr10_xr_srgb            word0=780aa9a2 word1=00001c00
FMT bgra10_xr                word0=760aace2 word1=00001c00
FMT bgra10_xr_srgb           word0=760aace2 word1=00001c00
FMT r8uint                   word0=79684022 word1=00001c00
FMT rg8uint                  word0=794842a2 word1=00001c00
FMT rgba8uint                word0=76884a22 word1=00001c00
FMT r16uint                  word0=79684262 word1=00001c00
FMT rg16uint                 word0=794848e2 word1=00001c00
FMT rgba16uint               word0=76884ca2 word1=00001c00
FMT r32uint                  word0=79684862 word1=00001c00
FMT rg32uint                 word0=79484c62 word1=00001c00
FMT rgba32uint               word0=76884e22 word1=00001c00
FMT r8sint                   word0=79686022 word1=00001c00
FMT rg8sint                  word0=794862a2 word1=00001c00
FMT rgba8sint                word0=76886a22 word1=00001c00
FMT r16sint                  word0=79686262 word1=00001c00
FMT rg16sint                 word0=794868e2 word1=00001c00
FMT rgba16sint               word0=76886ca2 word1=00001c00
FMT r32sint                  word0=79686862 word1=00001c00
FMT rg32sint                 word0=79486c62 word1=00001c00
FMT rgba32sint               word0=76886e22 word1=00001c00
FMT depth32float             word0=78008862 word1=00001c00
FMT depth16unorm             word0=78000262 word1=00001c00
FMT stencil8                 word0=79684022 word1=00001c00
FMT depth32float_stencil8    word0=78008862 word1=00001c00
FMT x32_stencil8             word0=79684022 word1=00001c00
FMT gbgr422                  word0=78421002 word1=00001c00
FMT bgrg422                  word0=78421042 word1=00001c00
FMT bc1_rgba                 word0=f6881d22 word1=00007c01
FMT bc1_rgba_srgb            word0=f6881d22 word1=00007c01
FMT bc2_rgba                 word0=f6881d62 word1=00007c01
FMT bc3_rgba                 word0=f6881da2 word1=00007c01
FMT bc4_runorm               word0=f9681de2 word1=00007c01
FMT bc4_rsnorm               word0=f9683de2 word1=00007c01
FMT bc5_rgunorm              word0=f9481e22 word1=00007c01
FMT bc5_rgsnorm              word0=f9483e22 word1=00007c01
FMT bc6h_rgbfloat            word0=f8889e62 word1=00007c01
FMT bc6h_rgbufloat           word0=f8889ea2 word1=00007c01
FMT bc7_rgba                 word0=f6881ee2 word1=00007c01
FMT bc7_rgba_srgb            word0=f6881ee2 word1=00007c01
FMT astc_4x4                 word0=f6881822 word1=00007c01
FMT astc_5x4                 word0=f6881862 word1=00007c01
FMT astc_5x5                 word0=f68818a2 word1=00007c01
FMT astc_6x5                 word0=f68818e2 word1=00007c01
FMT astc_6x6                 word0=f6881922 word1=00007c01
FMT astc_8x5                 word0=f6881962 word1=00007c01
FMT astc_8x6                 word0=f68819a2 word1=00007c01
FMT astc_8x8                 word0=f68819e2 word1=00007c01
FMT astc_10x5                word0=f6881a22 word1=00007c01
FMT astc_10x6                word0=f6881a62 word1=00007c01
FMT astc_10x8                word0=f6881aa2 word1=00007c01
FMT astc_10x10               word0=f6881ae2 word1=00007c01
FMT astc_12x10               word0=f6881b22 word1=00007c01
FMT astc_12x12               word0=f6881b62 word1=00007c01
FMT astc_4x4_hdr             word0=f6889822 word1=00007c01
FMT astc_6x6_hdr             word0=f6889922 word1=00007c01
FMT astc_8x8_hdr             word0=f68899e2 word1=00007c01
FMT astc_4x4_srgb            word0=f6881822 word1=00007c01
FMT etc2_rgb8                word0=f8881622 word1=00007c01
FMT etc2_rgb8a1              word0=f68816a2 word1=00007c01
FMT eac_rgba8                word0=f6881662 word1=00007c01
FMT eac_r11unorm             word0=f96816e2 word1=00007c01
FMT eac_r11snorm             word0=f96836e2 word1=00007c01
FMT eac_rg11unorm            word0=f9481722 word1=00007c01
FMT eac_rg11snorm            word0=f9483722 word1=00007c01
