# input set 'arith': INITIAL=12 (0x0000000c), V0=10 (0x0000000a)
op       code status     result_i     result_u     rawhex
add      0x20 OK         22           22           16000000
sub      0x36 OK         2            2            02000000
and      0x22 OK         8            8            08000000
or       0x2c OK         14           14           0e000000
xor      0x3e OK         6            6            06000000
smax     0x28 OK         12           12           0c000000
smin     0x2a OK         10           10           0a000000
umax     0x38 OK         12           12           0c000000
umin     0x3a OK         10           10           0a000000
fadd     0x26 OK         0            0            00000000
xchg     0x3c OK         10           10           0a000000
cmpxchg  0x24 OK         12           12           0c000000
