# input set 'float': INITIAL=1073741824 (0x40000000), V0=1065353216 (0x3f800000)
op       code status     result_i     result_u     rawhex
add      0x20 OK         2139095040   2139095040   0000807f
sub      0x36 OK         8388608      8388608      00008000
and      0x22 OK         0            0            00000000
or       0x2c OK         2139095040   2139095040   0000807f
xor      0x3e OK         2139095040   2139095040   0000807f
smax     0x28 OK         1073741824   1073741824   00000040
smin     0x2a OK         1065353216   1065353216   0000803f
umax     0x38 OK         1073741824   1073741824   00000040
umin     0x3a OK         1065353216   1065353216   0000803f
fadd     0x26 OK         1077936128   1077936128   00004040
xchg     0x3c OK         1065353216   1065353216   0000803f
cmpxchg  0x24 OK         1073741824   1073741824   00000040
