# input set 'sign': INITIAL=1 (0x00000001), V0=-1 (0xffffffff)
op       code status     result_i     result_u     rawhex
add      0x20 OK         0            0            00000000
sub      0x36 OK         2            2            02000000
and      0x22 OK         1            1            01000000
or       0x2c OK         -1           4294967295   ffffffff
xor      0x3e OK         -2           4294967294   feffffff
smax     0x28 OK         1            1            01000000
smin     0x2a OK         -1           4294967295   ffffffff
umax     0x38 OK         -1           4294967295   ffffffff
umin     0x3a OK         1            1            01000000
fadd     0x26 OK         2143289344   2143289344   0000c07f
xchg     0x3c OK         -1           4294967295   ffffffff
cmpxchg  0x24 OK         1            1            01000000
