K     f0(regs) scratchB   smallfields
2     6        0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 15: 1537, 26: 60, 27: 52, 29: 60}
4     8        0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 15: 2049, 26: 60, 27: 52, 29: 60}
8     13       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 15: 3329, 26: 60, 27: 52, 29: 60}
16    23       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
32    43       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
48    63       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
60    78       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
62    96       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
64    83       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
66    96       32         {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 32, 26: 68, 27: 60, 29: 68, 41: 32}
68    88       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
72    93       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
80    96       32         {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 32, 26: 68, 27: 60, 29: 68, 41: 32}
88    96       80         {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 80, 26: 68, 27: 60, 29: 68, 41: 80}
92    96       96         {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 96, 26: 68, 27: 60, 29: 68, 41: 96}
93    96       384        {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 384, 26: 68, 27: 60, 29: 68, 41: 384}
96    96       288        {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 288, 26: 68, 27: 60, 29: 68, 41: 288}
100   96       384        {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 384, 26: 68, 27: 60, 29: 68, 41: 384}
104   96       400        {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 400, 26: 68, 27: 60, 29: 68, 41: 400}
112   96       496        {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 496, 26: 68, 27: 60, 29: 68, 41: 496}
128   96       576        {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 576, 26: 68, 27: 60, 29: 68, 41: 576}
160   96       768        {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 768, 26: 68, 27: 60, 29: 68, 41: 768}
192   96       896        {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 896, 26: 68, 27: 60, 29: 68, 41: 896}
256   96       1280       {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 1280, 26: 68, 27: 60, 29: 68, 41: 1280}
