K     f0(regs) scratchB   smallfields
2     4        0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 15: 1025, 26: 60, 27: 52, 29: 60}
4     6        0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 15: 1537, 26: 60, 27: 52, 29: 60}
8     8        0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 15: 2049, 26: 60, 27: 52, 29: 60}
16    14       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 15: 3585, 26: 60, 27: 52, 29: 60}
32    26       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
48    38       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
60    47       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
64    50       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
72    56       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
80    62       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
96    74       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
112   86       0          {1: 8, 2: 140, 3: 16, 4: 132, 6: 136, 8: 136, 10: 136, 12: 136, 13: 132, 26: 60, 27: 52, 29: 60}
128   96       16         {1: 8, 2: 148, 3: 16, 4: 140, 6: 144, 8: 144, 10: 144, 12: 144, 13: 140, 14: 16, 26: 68, 27: 60, 29: 68, 41: 16}
