unique kernels: 842
FULLY DECODE on M5 with G17P DB (no desync): 35 (4.2%)
kernels with >=1 desync: 807

FIRST-DESYNC byte0 (root-cause diverged ops, ranked):
byte0 | #kernels-first-break-here | sample 6-byte contexts
  0x18 |   204 | 18 22 10 c0 41 00   18 22 10 c0 41 00   18 22 10 c0 41 00
  0x41 |    60 | 41 00 80 00 00 00   41 00 80 00 00 00   41 00 80 00 00 00
  0xc1 |    51 | c1 00 80 00 00 00   c1 00 80 00 00 00   c1 00 80 00 00 00
  0x24 |    47 | 24 81 01 50 28 00   24 81 01 50 28 00   24 80 03 0a 27 0a
  0x3f |    46 | 3f 0c 03 02 18 22   3f 02 00 80 3a 30   3f 02 00 1a 26 00
  0x01 |    37 | 01 06 10 c0 00 20   01 26 10 40 0e 00   01 26 10 40 0e 00
  0xa0 |    34 | a0 82 11 00 0f 08   a0 82 11 00 0f 08   a0 02 0f 00 03 00
  0x07 |    30 | 07 02 82 00 0f 04   07 04 03 0a 60 0a   07 04 03 02 18 22
  0x20 |    23 | 20 0e 04 95 10 06   20 81 14 00 23 00   20 18 02 05 1e 01
  0x78 |    22 | 78 2a 10 00 4f 08   78 2a 10 00 4f 08   78 2a 10 00 4f 08
  0x5f |    17 | 5f 08 03 06 18 22   5f 14 03 00 d8 0c   5f 08 03 24 38 2a
  0xef |    15 | ef 48 43 00 28 0c   ef 48 43 00 28 0c   ef 48 43 00 28 0c
  0xbe |    14 | be 20 39 0e 00 00   be 50 1b 0e 00 00   be 10 51 0e 00 00
  0x38 |    13 | 38 b0 a3 12 c4 87   38 f0 a1 12 02 82   38 02 06 02 23 20
  0x3e |    12 | 3e 40 19 0e 00 00   3e 10 31 0e 00 00   3e 40 19 0e 00 00
  0x70 |    11 | 70 80 00 34 00 00   70 80 00 34 00 00   70 80 00 34 00 00
  0x08 |    11 | 08 00 17 00 03 00   08 82 04 00 37 01   08 10 03 18 27 00
  0xff |     9 | ff 48 43 00 28 0c   ff 48 43 00 28 0c   ff 48 43 00 28 0c
  0xa5 |     8 | a5 0a 02 00 1e 00   a5 0a 02 00 1b 00   a5 0a 42 00 2b 00
  0xa4 |     8 | a4 0a 00 82 1e 00   a4 83 01 18 28 00   a4 83 01 18 28 00
  0x10 |     7 | 10 40 0e 00 00 00   10 40 0e 00 00 00   10 60 0e 00 00 00
  0x4f |     7 | 4f 04 03 10 78 2a   4f 04 03 12 00 02   4f 08 03 02 18 22
  0xa1 |     7 | a1 64 22 40 1f 00   a1 64 20 40 12 05   a1 60 20 40 12 05
  0x50 |     7 | 50 1c 40 11 12 03   50 1c 40 11 12 03   50 1c 64 10 12 03
  0x2a |     5 | 2a 20 aa 0a 10 0a   2a 20 aa 0a 10 0a   2a 20 aa 0a 10 0a
  0x02 |     5 | 02 0e be 00 19 0e   02 02 80 04 59 98   02 18 67 00 03 00
  0x58 |     5 | 58 2a 10 80 41 00   58 0a 00 00 cf 68   58 2a 10 00 4f 08
  0x32 |     5 | 32 02 45 0a 27 00   32 02 47 0a 23 00   32 02 45 0a 23 00
  0xb7 |     5 | b7 04 04 1a 2d 00   b7 00 04 00 31 07   b7 00 04 00 31 07
  0x7f |     5 | 7f 04 03 08 18 22   7f 04 03 02 18 02   7f 04 03 08 18 22
