############ SAMPLE POSITIONS: msaa4b vs msaa4sp (all BOs, wide) ############
va 100000d8000: 8 diffs
   +0x0040: 0000c03e -> 0000003e
   +0x0044: 0000003e -> 0000403e
   +0x0048: 0000603f -> 0000a03e
   +0x004c: 0000c03e -> 0000303f
   +0x0050: 0000003e -> 0000203f
   +0x0054: 0000203f -> 0000c03e
   +0x0058: 0000203f -> 0000603f
   +0x005c: 0000603f -> 0000503f

############ PBE storage-image: iw_w vs iw_w256 (width 64->256, height 64->128) ############
va 10000018000: 5 diffs
   +0x0224: 03f80120 -> 0ff80320
   +0x0230: 00840000 -> 00a00000
   +0x0420: 220ae43f -> 220ae4ff
   +0x0424: 801f0020 -> 803f0020
   +0x0430: 00840000 -> 00a00000
va 10000018200: 5 diffs
   +0x0024: 03f80120 -> 0ff80320
   +0x0030: 00840000 -> 00a00000
   +0x0220: 220ae43f -> 220ae4ff
   +0x0224: 801f0020 -> 803f0020
   +0x0230: 00840000 -> 00a00000
va 10000018400: 3 diffs
   +0x0020: 220ae43f -> 220ae4ff
   +0x0024: 801f0020 -> 803f0020
   +0x0030: 00840000 -> 00a00000
va 10000080000: 32 diffs
   +0x4000: 0d0a0a03 -> a38d0100
   +0x4004: 0a0a0303 -> ffffffff
   +0x4008: 0a030a03 -> 44cffeff
   +0x400c: 03030303 -> ffffffa3
   +0x4010: 0a0a0303 -> 8d0100ff
   +0x4014: 0a0a0303 -> ffffff44
   +0x4018: 03030303 -> cffeffff
   +0x401c: 03030303 -> ffffffff
   +0x4020: 0a030a03 -> ffffffff
   +0x4024: 03030303 -> ffffffff
   +0x4028: 0a030a03 -> ffffffff
   +0x402c: 03030303 -> ffff0000
   +0x4030: 03030303 -> 00000000
   +0x4034: 03030303 -> 00000000
   +0x4038: 03030303 -> 00000000
   +0x403c: 03030303 -> 00000000
   +0x4040: 0a0a0303 -> 00000000
   +0x4044: 0a0a0303 -> 00000000
   +0x4048: 03030303 -> 00000000
   +0x404c: 03030303 -> 00000000
   +0x4050: 0a0a0303 -> 00000000
   +0x4054: 0a0a0303 -> 00000000
   +0x4058: 03030303 -> 00000000
   +0x405c: 03030303 -> 00000000
   +0x4060: 03030303 -> 00000000
   +0x4064: 03030303 -> 00000000
   +0x4068: 03030303 -> 00000000
   +0x406c: 03030303 -> 00000000
   +0x4070: 03030303 -> 00000000
   +0x4074: 03030303 -> 00000000
   +0x4078: 03030303 -> 00000000
   +0x407c: 03030303 -> 00000000

############ PBE: iw_w vs iw_wr32 (format rgba8->r32u) ############
va 10000018000: 6 diffs
   +0x0220: 220a88f6 -> 624868f9
   +0x0224: 03f80120 -> 0ff80320
   +0x0230: 00840000 -> 00a00000
   +0x0420: 220ae43f -> 624800ff
   +0x0424: 801f0020 -> 803f0020
   +0x0430: 00840000 -> 00a00000
va 10000018200: 6 diffs
   +0x0020: 220a88f6 -> 624868f9
   +0x0024: 03f80120 -> 0ff80320
   +0x0030: 00840000 -> 00a00000
   +0x0220: 220ae43f -> 624800ff
   +0x0224: 801f0020 -> 803f0020
   +0x0230: 00840000 -> 00a00000
va 10000018400: 3 diffs
   +0x0020: 220ae43f -> 624800ff
   +0x0024: 801f0020 -> 803f0020
   +0x0030: 00840000 -> 00a00000
va 10000080000: 2641 diffs
   +0x0000: ad8d0100 -> ad030000
   +0x0004: ffffffff -> 01019801
   +0x0008: 5044efb5 -> 00007e00
   +0x000c: fafe6d8c -> 00001f00
   +0x0010: 0100ffff -> 00000800
   +0x0014: ffff507b -> 00f00100
   +0x0018: faa38d01 -> 007d0000
   +0x001c: 00ffffff -> 801f0000
   +0x0020: ff44cffe -> d0070000
   +0x0024: ffffffff -> 00020000
   +0x0028: 6d8c0100 -> 80000000
   +0x002c: ffffffff -> 1f000000
   +0x0030: 507bfa6d -> 080000f0
   +0x0034: 8c0100ff -> 0100007d
   +0x0038: ffffff50 -> 0000801f
   +0x003c: 7bfaffff -> 0000e007
   +0x0040: ffffffff -> 0000f801
   +0x0044: ffff0000 -> 00000100
   +0x0048: 00000000 -> 80000000
   +0x004c: 00000000 -> 01008000
   +0x0050: 00000000 -> 00800000
   +0x0054: 00000000 -> 80000080
   +0x0058: 00000000 -> 00008000
   +0x005c: 00000000 -> 00000100
   +0x0060: 00000000 -> 80000000
   +0x0064: 00000000 -> 00008000
   +0x0068: 00000000 -> 00800000
   +0x006c: 00000000 -> 80000080
   +0x0070: 00000000 -> 00008000
   +0x0074: 00000000 -> ad030000
   +0x0078: 00000000 -> 01019801
   +0x007c: 00000000 -> 00007e00
   +0x0080: 00000000 -> 00001f00
   +0x0084: 00000000 -> 00000800
   +0x0088: 00000000 -> 00f00100
