=== texpat allocatedSize matrix ===
fmt=r8 W=64 H=64 nowrite=0 mips=0 allocatedSize=0x1080
fmt=r8 W=96 H=96 nowrite=0 mips=0 allocatedSize=0x8000
fmt=r8 W=128 H=128 nowrite=0 mips=0 allocatedSize=0x8000
fmt=r8 W=192 H=192 nowrite=0 mips=0 allocatedSize=0x14000
fmt=r8 W=256 H=256 nowrite=0 mips=0 allocatedSize=0x14000
fmt=r8 W=300 H=300 nowrite=0 mips=0 allocatedSize=0x28000
fmt=r8 W=384 H=384 nowrite=0 mips=0 allocatedSize=0x28000
fmt=r8 W=512 H=512 nowrite=0 mips=0 allocatedSize=0x44000
fmt=r16u W=64 H=64 nowrite=0 mips=0 allocatedSize=0x2080
fmt=r16u W=96 H=96 nowrite=0 mips=0 allocatedSize=0xc000
fmt=r16u W=128 H=128 nowrite=0 mips=0 allocatedSize=0xc000
fmt=r16u W=192 H=192 nowrite=0 mips=0 allocatedSize=0x1c000
fmt=r16u W=256 H=256 nowrite=0 mips=0 allocatedSize=0x24000
fmt=r16u W=300 H=300 nowrite=0 mips=0 allocatedSize=0x40000
fmt=r16u W=384 H=384 nowrite=0 mips=0 allocatedSize=0x4c000
fmt=r16u W=512 H=512 nowrite=0 mips=0 allocatedSize=0x84000
fmt=r32u W=64 H=64 nowrite=0 mips=0 allocatedSize=0x8000
fmt=r32u W=96 H=96 nowrite=0 mips=0 allocatedSize=0x14000
fmt=r32u W=128 H=128 nowrite=0 mips=0 allocatedSize=0x14000
fmt=r32u W=192 H=192 nowrite=0 mips=0 allocatedSize=0x28000
fmt=r32u W=256 H=256 nowrite=0 mips=0 allocatedSize=0x44000
fmt=r32u W=300 H=300 nowrite=0 mips=0 allocatedSize=0x68000
fmt=r32u W=384 H=384 nowrite=0 mips=0 allocatedSize=0x94000
fmt=r32u W=512 H=512 nowrite=0 mips=0 allocatedSize=0x104000
fmt=rgba8 W=64 H=64 nowrite=0 mips=0 allocatedSize=0x8000
fmt=rgba8 W=96 H=96 nowrite=0 mips=0 allocatedSize=0x14000
fmt=rgba8 W=128 H=128 nowrite=0 mips=0 allocatedSize=0x14000
fmt=rgba8 W=192 H=192 nowrite=0 mips=0 allocatedSize=0x28000
fmt=rgba8 W=256 H=256 nowrite=0 mips=0 allocatedSize=0x44000
fmt=rgba8 W=300 H=300 nowrite=0 mips=0 allocatedSize=0x68000
fmt=rgba8 W=384 H=384 nowrite=0 mips=0 allocatedSize=0x94000
fmt=rgba8 W=512 H=512 nowrite=0 mips=0 allocatedSize=0x104000
fmt=rgba16f W=64 H=64 nowrite=0 mips=0 allocatedSize=0xc000
fmt=rgba16f W=96 H=96 nowrite=0 mips=0 allocatedSize=0x1c000
fmt=rgba16f W=128 H=128 nowrite=0 mips=0 allocatedSize=0x24000
fmt=rgba16f W=192 H=192 nowrite=0 mips=0 allocatedSize=0x4c000
fmt=rgba16f W=256 H=256 nowrite=0 mips=0 allocatedSize=0x84000
fmt=rgba16f W=300 H=300 nowrite=0 mips=0 allocatedSize=0xcc000
fmt=rgba16f W=384 H=384 nowrite=0 mips=0 allocatedSize=0x124000
fmt=rgba16f W=512 H=512 nowrite=0 mips=0 allocatedSize=0x204000
fmt=rgba32f W=64 H=64 nowrite=0 mips=0 allocatedSize=0x14000
fmt=rgba32f W=96 H=96 nowrite=0 mips=0 allocatedSize=0x28000
fmt=rgba32f W=128 H=128 nowrite=0 mips=0 allocatedSize=0x44000
fmt=rgba32f W=192 H=192 nowrite=0 mips=0 allocatedSize=0x94000
fmt=rgba32f W=256 H=256 nowrite=0 mips=0 allocatedSize=0x104000
fmt=rgba32f W=300 H=300 nowrite=0 mips=0 allocatedSize=0x194000
fmt=rgba32f W=384 H=384 nowrite=0 mips=0 allocatedSize=0x244000
fmt=rgba32f W=512 H=512 nowrite=0 mips=0 allocatedSize=0x404000
=== compression-eligible (nowrite) allocatedSize (aux included) ===
fmt=rgba8 W=8 H=8 nowrite=1 mips=0 allocatedSize=0x100
fmt=rgba8 W=15 H=15 nowrite=1 mips=0 allocatedSize=0x400
fmt=rgba8 W=16 H=16 nowrite=1 mips=0 allocatedSize=0x480
fmt=rgba8 W=17 H=17 nowrite=1 mips=0 allocatedSize=0x1080
fmt=rgba8 W=64 H=64 nowrite=1 mips=0 allocatedSize=0x8000
fmt=rgba8 W=256 H=256 nowrite=1 mips=0 allocatedSize=0x44000
fmt=rgba16f W=8 H=8 nowrite=1 mips=0 allocatedSize=0x200
fmt=rgba16f W=15 H=15 nowrite=1 mips=0 allocatedSize=0x800
fmt=rgba16f W=16 H=16 nowrite=1 mips=0 allocatedSize=0x880
fmt=rgba16f W=17 H=17 nowrite=1 mips=0 allocatedSize=0x2080
fmt=rgba16f W=64 H=64 nowrite=1 mips=0 allocatedSize=0xc000
fmt=rgba16f W=256 H=256 nowrite=1 mips=0 allocatedSize=0x84000
fmt=rgba32f W=8 H=8 nowrite=1 mips=0 allocatedSize=0x400
fmt=rgba32f W=15 H=15 nowrite=1 mips=0 allocatedSize=0x1000
fmt=rgba32f W=16 H=16 nowrite=1 mips=0 allocatedSize=0x1080
fmt=rgba32f W=17 H=17 nowrite=1 mips=0 allocatedSize=0x8000
fmt=rgba32f W=64 H=64 nowrite=1 mips=0 allocatedSize=0x14000
fmt=rgba32f W=256 H=256 nowrite=1 mips=0 allocatedSize=0x104000
