
=== gpu_va=0x0  A=map_seq000054_conn0_type00005e15_at100498000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu100ef0000_sz10000.hex ===
  [size differs: A read 0x4000  B read 0x10000]
  +0x0000: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0040: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0044: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x0080: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x00c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0100: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0140: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0180: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x01c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0200: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0280: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x02c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0300: 0x00000000 -> 0x0000fcc0   (A 0  B 64704)

=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu100598000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu100fa4000_sz8000.hex ===
  +0x0010: 0x00000808 -> 0x00000909   (A 2056  B 2313)
  +0x0064: 0x61c40600 -> 0x61c40000   (A 1640236544  B 1640235008)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu100700000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu10100c000_sz8000.hex ===
  +0x0020: 0x00010000 -> 0x00050000   (A 65536  B 327680)
  +0x002c: 0x00000008 -> 0x00000009   (A 8  B 9)
  +0x0034: 0x00040200 -> 0x04040200   (A 262656  B 67371520)
  +0x0050: 0x00000200 -> 0x04000200   (A 512  B 67109376)
  +0x0054: 0x07e00000 -> 0x47e00000   (A 132120576  B 1205862400)
  +0x0058: 0x07e00000 -> 0x47e00000   (A 132120576  B 1205862400)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu1004a0000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu100eac000_sz10000.hex ===
  +0x0624: 0x004d40c0 -> 0x004c40c0   (A 5062848  B 4997312)
  +0x062c: 0x004840e0 -> 0x004540e0   (A 4735200  B 4538592)
  +0x0630: 0x0000000e -> 0x00540657   (A 14  B 5506647)
  +0x0634: 0x00000000 -> 0x00484100   (A 0  B 4735232)
  +0x0638: 0x00000000 -> 0x0000000e   (A 0  B 14)

=== gpu_va=0x10000058000  A=bo_sigusr1_h0_va10000058000_cpu1004f4000_sz4000.hex  B=bo_sigusr1_h0_va10000058000_cpu100f00000_sz4000.hex ===
  +0x030c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x03f0: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x040c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x050c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0510: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x060c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0610: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0614: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x070c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0710: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0714: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0718: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x080c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0810: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0814: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0818: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x081c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x090c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0910: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0914: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0918: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x091c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0920: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a10: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a14: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a18: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a1c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a20: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a24: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b10: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b14: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b18: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b1c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b20: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b24: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b28: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c10: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c14: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c18: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c1c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c20: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c24: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c28: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c2c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d10: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d14: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d18: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d1c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d20: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d24: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d28: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d2c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d30: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e10: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e14: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e18: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e1c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e20: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e24: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e28: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e2c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e30: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e34: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f10: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f14: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f18: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f1c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f20: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f24: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f28: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f2c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f30: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f34: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f38: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x100c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1010: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1014: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1018: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x101c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1020: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1024: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1028: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x102c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1030: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1034: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1038: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x103c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x110c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
