
=== gpu_va=0x0  A=map_seq000054_conn0_type00005e15_at100498000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu1074b0000_sz10000.hex ===
  [size differs: A read 0x4000  B read 0x10000]
  +0x0000: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0040: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0044: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x0080: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x00c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0100: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0140: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0180: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x01c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0200: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0280: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x02c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0300: 0x00000000 -> 0x0000fcc0   (A 0  B 64704)

=== gpu_va=0x48000  A=bo_sigusr1_h0_va48000_cpu1006d0000_sz8000.hex  B=bo_sigusr1_h0_va48000_cpu10769c000_sz8000.hex ===
  +0x0004: 0x00000000 -> 0x00000001   (A 0  B 1)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu100700000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu1076cc000_sz8000.hex ===
  +0x0034: 0x00040200 -> 0x00050200   (A 262656  B 328192)

=== gpu_va=0x68000  A=bo_sigusr1_h0_va68000_cpu100708000_sz88e0.hex  B=bo_sigusr1_h0_va68000_cpu1076d4000_sz88e0.hex ===
  +0x0904: 0x80000001 -> 0x80000000   (A 2147483649  B 2147483648)
  +0x0908: 0x00000001 -> 0x00000000   (A 1  B 0)

=== gpu_va=0x10000058000  A=bo_sigusr1_h0_va10000058000_cpu1004f4000_sz4000.hex  B=bo_sigusr1_h0_va10000058000_cpu1074c0000_sz4000.hex ===
  +0x1e0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e10: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e14: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e18: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e1c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e20: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e24: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e28: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e2c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e30: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e34: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e38: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e3c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e40: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e44: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e48: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e4c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e50: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e54: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e58: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e5c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e60: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e64: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e68: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e6c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e70: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e74: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f10: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f14: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f18: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f1c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f20: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f24: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f28: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f2c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f30: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f34: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f38: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f3c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f40: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f44: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f48: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f4c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f50: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f54: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f58: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f5c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f60: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f64: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f68: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f6c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f70: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f74: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1f78: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)

=== gpu_va=0x10000130000  A=bo_sigusr1_h0_va10000130000_cpu1005c8000_sz8000.hex  B=bo_sigusr1_h0_va10000130000_cpu107594000_sz8000.hex ===
  +0x0534: 0x4eaa0177 -> 0x502a0177   (A 1319764343  B 1344930167)

=== gpu_va=0x10000140000  A=bo_sigusr1_h0_va10000140000_cpu1005d0000_sz100000.hex  B=bo_sigusr1_h0_va10000140000_cpu10759c000_sz100000.hex ===
  +0x0010: 0x00000000 -> 0x00000020   (A 0  B 32)
  +0x0014: 0x00000000 -> 0x0000001e   (A 0  B 30)
  +0x001c: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)

[77 differing words across 37 paired BO(s)]
