
=== gpu_va=0x68000  A=bo_sigusr1_h0_va68000_cpu104a74000_sz88e0.hex  B=bo_sigusr1_h0_va68000_cpu10765c000_sz88e0.hex ===
  +0x0900: 0x00000c00 -> 0x00001c00   (A 3072  B 7168)
  +0x090c: 0x00000000 -> 0x80000001   (A 0  B 2147483649)
  +0x0910: 0x42000000 -> 0x00000001   (A 1107296256  B 1)
  +0x0914: 0x42000000 -> 0x00000001   (A 1107296256  B 1)
  +0x0918: 0x42000000 -> 0x41f00000   (A 1107296256  B 1106247680)
  +0x091c: 0xc2000000 -> 0x41f00000   (A 3254779904  B 1106247680)
  +0x0920: 0x00000000 -> 0x41c80000   (A 0  B 1103626240)
  +0x0924: 0x3f800000 -> 0xc1c80000   (A 1065353216  B 3251109888)
  +0x092c: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x0930: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0934: 0x00000000 -> 0x41e80000   (A 0  B 1105723392)
  +0x0938: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x093c: 0x00000000 -> 0xc1e00000   (A 0  B 3252682752)
  +0x0940: 0x00000000 -> 0x3e9eb852   (A 0  B 1050589266)
  +0x0944: 0x00000000 -> 0x3f2b851f   (A 0  B 1059816735)

[15 differing words across 1 paired BO(s)]
