
=== gpu_va=0x68000  A=bo_sigusr1_h0_va68000_cpu104a74000_sz88e0.hex  B=bo_sigusr1_h0_va68000_cpu10988c000_sz88e0.hex ===
  +0x0900: 0x00000c00 -> 0x00003c00   (A 3072  B 15360)
  +0x090c: 0x00000000 -> 0x80000001   (A 0  B 2147483649)
  +0x0910: 0x42000000 -> 0x00000001   (A 1107296256  B 1)
  +0x0914: 0x42000000 -> 0x80000001   (A 1107296256  B 2147483649)
  +0x0918: 0x42000000 -> 0x00000001   (A 1107296256  B 1)
  +0x091c: 0xc2000000 -> 0x80000001   (A 3254779904  B 2147483649)
  +0x0920: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0924: 0x3f800000 -> 0x00000001   (A 1065353216  B 1)
  +0x0928: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x092c: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0930: 0x00000000 -> 0x41c80000   (A 0  B 1103626240)
  +0x0934: 0x00000000 -> 0xc1c80000   (A 0  B 3251109888)
  +0x093c: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x0940: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0944: 0x00000000 -> 0x41e80000   (A 0  B 1105723392)
  +0x0948: 0x00000000 -> 0x41d40000   (A 0  B 1104412672)
  +0x094c: 0x00000000 -> 0xc1c40000   (A 0  B 3250847744)
  +0x0950: 0x00000000 -> 0x3ca3d70a   (A 0  B 1017370378)
  +0x0954: 0x00000000 -> 0x3f75c28f   (A 0  B 1064682127)
  +0x0958: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x095c: 0x00000000 -> 0x41e00000   (A 0  B 1105199104)
  +0x0960: 0x00000000 -> 0x41e00000   (A 0  B 1105199104)
  +0x0964: 0x00000000 -> 0xc1c00000   (A 0  B 3250585600)
  +0x0968: 0x00000000 -> 0x3d23d70a   (A 0  B 1025758986)
  +0x096c: 0x00000000 -> 0x3f6b851f   (A 0  B 1064011039)
  +0x0970: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0974: 0x00000000 -> 0x41d80000   (A 0  B 1104674816)
  +0x0978: 0x00000000 -> 0x41ec0000   (A 0  B 1105985536)
  +0x097c: 0x00000000 -> 0xc1bc0000   (A 0  B 3250323456)
  +0x0980: 0x00000000 -> 0x3d75c28f   (A 0  B 1031127695)
  +0x0984: 0x00000000 -> 0x3f6147ae   (A 0  B 1063339950)

[31 differing words across 1 paired BO(s)]
