
=== gpu_va=0x0  A=map_seq000054_conn0_type00005e15_at104768000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu105c74000_sz10000.hex ===
  [size differs: A read 0x4000  B read 0x10000]
  +0x0000: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0040: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0044: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x0080: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x00c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0100: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0140: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0180: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x01c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0200: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0280: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x02c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0300: 0x00000000 -> 0x0000fcc0   (A 0  B 64704)

=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu1047f4000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu105d24000_sz8000.hex ===
  +0x0044: 0x00000a00 -> 0x00001200   (A 2560  B 4608)

=== gpu_va=0x48000  A=bo_sigusr1_h0_va48000_cpu10482c000_sz8000.hex  B=bo_sigusr1_h0_va48000_cpu105e5c000_sz8000.hex ===
  +0x0004: 0x00000000 -> 0x00000001   (A 0  B 1)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu104a6c000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu105e8c000_sz8000.hex ===
  +0x0034: 0x00040200 -> 0x00050200   (A 262656  B 328192)

=== gpu_va=0x68000  A=bo_sigusr1_h0_va68000_cpu104a74000_sz88e0.hex  B=bo_sigusr1_h0_va68000_cpu105e94000_sz88e0.hex ===
  +0x0900: 0x00000c00 -> 0x00001c00   (A 3072  B 7168)
  +0x090c: 0x00000000 -> 0x80000001   (A 0  B 2147483649)
  +0x0910: 0x42000000 -> 0x00000001   (A 1107296256  B 1)
  +0x0914: 0x42000000 -> 0x00000001   (A 1107296256  B 1)
  +0x0918: 0x42000000 -> 0x41f00000   (A 1107296256  B 1106247680)
  +0x091c: 0xc2000000 -> 0x41f00000   (A 3254779904  B 1106247680)
  +0x0920: 0x00000000 -> 0x41c80000   (A 0  B 1103626240)
  +0x0924: 0x3f800000 -> 0xc1c80000   (A 1065353216  B 3251109888)
  +0x092c: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x0930: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0934: 0x00000000 -> 0x41e80000   (A 0  B 1105723392)
  +0x0938: 0x00000000 -> 0x41d40000   (A 0  B 1104412672)
  +0x093c: 0x00000000 -> 0xc1c40000   (A 0  B 3250847744)
  +0x0940: 0x00000000 -> 0x3ca3d70a   (A 0  B 1017370378)
  +0x0944: 0x00000000 -> 0x3f75c28f   (A 0  B 1064682127)

=== gpu_va=0x10000058000  A=bo_sigusr1_h0_va10000058000_cpu1047c4000_sz4000.hex  B=bo_sigusr1_h0_va10000058000_cpu100fd4000_sz4000.hex ===
  +0x030c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0410: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0514: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0518: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0618: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x061c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x071c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0720: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0820: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0824: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0924: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0928: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0a28: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0a2c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0a30: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0b2c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0b30: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0b34: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0c30: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0c34: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0c38: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0d34: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0d38: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0d3c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0e38: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0e3c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0e40: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0f3c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0f40: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0f44: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x0f48: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1040: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1044: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1048: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x104c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1144: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1148: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x114c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1150: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1248: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x124c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1250: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1254: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x134c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1350: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1354: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1358: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1450: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1454: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1458: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x145c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1460: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1554: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1558: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x155c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1560: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1564: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1658: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x165c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1660: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1664: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1668: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x175c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1760: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1764: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1768: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x176c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1860: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1864: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1868: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x186c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1870: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1964: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1968: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x196c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1970: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1974: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1978: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1a68: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1a6c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1a70: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1a74: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1a78: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1a7c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1b6c: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
  +0x1b70: 0xff000000 -> 0xff4080bf   (A 4278190080  B 4282417343)
