
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu10485c000_sz10000.hex  B=map_seq000059_conn0_type00005e15_at100ac4000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0000: 0x00000080 -> 0x000f0000   (A 128  B 983040)
  +0x0040: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0044: 0x00000004 -> 0x00000000   (A 4  B 0)
  +0x0080: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x00c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x00c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x00fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0100: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0104: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0108: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x010c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0110: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0114: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0118: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x011c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0120: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0124: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0128: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x012c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0130: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0134: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0138: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x013c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0140: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0180: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0184: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0188: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x018c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0190: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0194: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0198: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x019c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x01c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x01fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0200: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0240: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0244: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0248: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x024c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0250: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0254: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0258: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x025c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0260: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0264: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0268: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x026c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0270: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0274: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0278: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x027c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0280: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0284: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0288: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x028c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0290: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0294: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0298: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x029c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x02c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0300: 0x0000fcc0 -> 0x00000000   (A 64704  B 0)
  +0x0304: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0308: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x030c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0310: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0314: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0318: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x031c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0320: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0324: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0328: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x032c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0330: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0334: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0338: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x033c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0344: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0348: 0x00000000 -> 0x000000ff   (A 0  B 255)
