
=== gpu_va=0x100000e8000  A=bo_sigusr1_h0_va100000e8000_cpu1049fc000_sz8000.hex  B=bo_sigusr1_h0_va100000e8000_cpu1046ac000_sz8000.hex ===
  +0x0040: 0x3ec00000 -> 0x3d800000   (A 1052770304  B 1031798784)
  +0x0044: 0x3e000000 -> 0x3f700000   (A 1040187392  B 1064304640)
  +0x0048: 0x3f600000 -> 0x3f000000   (A 1063256064  B 1056964608)
  +0x004c: 0x3ec00000 -> 0x3d800000   (A 1052770304  B 1031798784)
  +0x0050: 0x3e000000 -> 0x3f700000   (A 1040187392  B 1064304640)
  +0x0054: 0x3f200000 -> 0x3f000000   (A 1059061760  B 1056964608)
  +0x0058: 0x3f200000 -> 0x3e800000   (A 1059061760  B 1048576000)
  +0x005c: 0x3f600000 -> 0x3f400000   (A 1063256064  B 1061158912)

[8 differing words across 38 paired BO(s)]
