# CDM effective-vs-API threadgroup (0x100001b8000 this run). grid@+0x10 verbatim threads; effTG@+0x1c driver-chosen
c_tg1     reqTG=(1,1,1   ) CDMgrid=(256, 1, 1) effTG=(32, 1, 1) effprod=32
c_tg2     reqTG=(2,1,1   ) CDMgrid=(256, 1, 1) effTG=(32, 1, 1) effprod=32
c_tg4     reqTG=(4,1,1   ) CDMgrid=(256, 1, 1) effTG=(32, 1, 1) effprod=32
c_tg8     reqTG=(8,1,1   ) CDMgrid=(256, 1, 1) effTG=(32, 1, 1) effprod=32
c_tg10    reqTG=(10,1,1  ) CDMgrid=(256, 1, 1) effTG=(32, 1, 1) effprod=32
c_tg16    reqTG=(16,1,1  ) CDMgrid=(256, 1, 1) effTG=(32, 1, 1) effprod=32
c_tg25    reqTG=(25,1,1  ) CDMgrid=(256, 1, 1) effTG=(32, 1, 1) effprod=32
c_tg32    reqTG=(32,1,1  ) CDMgrid=(256, 1, 1) effTG=(32, 1, 1) effprod=32
c_tg48    reqTG=(48,1,1  ) CDMgrid=(256, 1, 1) effTG=(64, 1, 1) effprod=64
c_tg64    reqTG=(64,1,1  ) CDMgrid=(256, 1, 1) effTG=(64, 1, 1) effprod=64
c_tg111   reqTG=(100,1,1 ) CDMgrid=(512, 1, 1) effTG=(128, 1, 1) effprod=128
c_tg2d    reqTG=(3,5,1   ) CDMgrid=(64, 64, 1) effTG=(4, 8, 1) effprod=32
c_tg111_1 reqTG=(1,1,1   ) CDMgrid=(64, 64, 8) effTG=(32, 1, 1) effprod=32
