# reachable boolean functions: 16/16
  tt=0x0 FALSE         via b+2=0x1e b+4=0x00 b+5=0x00
  tt=0x1 NOR           via b+2=0x1e b+4=0x01 b+5=0x00
  tt=0x2 andn(~a&b)    via b+2=0x1e b+4=0x02 b+5=0x00
  tt=0x3 ~a            via b+2=0x1e b+4=0x81 b+5=0x00
  tt=0x4 andn(a&~b)    via b+2=0x1e b+4=0x00 b+5=0x08
  tt=0x5 ~b            via b+2=0x1e b+4=0x01 b+5=0x08
  tt=0x6 XOR           via b+2=0x1e b+4=0x02 b+5=0x08
  tt=0x7 NAND          via b+2=0x1e b+4=0x03 b+5=0x08
  tt=0x8 AND           via b+2=0x1f b+4=0x00 b+5=0x00
  tt=0x9 XNOR          via b+2=0x1f b+4=0x01 b+5=0x00
  tt=0xa b             via b+2=0x1f b+4=0x02 b+5=0x00
  tt=0xb orn(~a|b)     via b+2=0x1f b+4=0x03 b+5=0x00
  tt=0xc a             via b+2=0x1e b+4=0x20 b+5=0x00
  tt=0xd orn(a|~b)     via b+2=0x1f b+4=0x01 b+5=0x08
  tt=0xe OR            via b+2=0x1f b+4=0x02 b+5=0x08
  tt=0xf TRUE          via b+2=0x1e b+4=0x81 b+5=0x08
