
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at104d30000_sz4000.hex  B=map_seq000055_conn0_type00005e15_at1044a0000_sz4000.hex ===
  +0x0544: 0x00028710 -> 0x00028810   (A 165648  B 165904)
  +0x0584: 0x00028710 -> 0x00028810   (A 165648  B 165904)
  +0x0844: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1204: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x12c4: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1384: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1444: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1504: 0x00028710 -> 0x00028810   (A 165648  B 165904)
  +0x15c4: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1684: 0x00028710 -> 0x00028810   (A 165648  B 165904)
  +0x1744: 0x00028710 -> 0x00028810   (A 165648  B 165904)
  +0x1804: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x18c4: 0x00028710 -> 0x00028810   (A 165648  B 165904)
  +0x1984: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1a44: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1b04: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1bc4: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1c84: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1d44: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1e04: 0x00028710 -> 0x00028810   (A 165648  B 165904)
  +0x1f84: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)
  +0x1f88: 0x00028710 -> 0x00028810   (A 165648  B 165904)
  +0x1fc4: 0x0056270d -> 0x0056280d   (A 5646093  B 5646349)

[23 differing words across 38 paired BO(s)]
