K     f0       scr    maxreg   status   copy     meta_fields
60    78       0      107      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 16, 26, 27, 29, 32, 33]
61    96       128    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
62    96       0      108      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 16, 26, 27, 29, 32, 33]
63    96       144    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
64    83       0      107      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 16, 26, 27, 29, 32, 33]
65    96       160    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
66    96       32     76       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
67    96       176    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
68    88       0      107      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 16, 26, 27, 29, 32, 33]
69    96       192    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
70    96       48     76       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
71    96       208    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
72    93       0      107      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 16, 26, 27, 29, 32, 33]
73    96       224    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
74    96       80     76       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
75    96       240    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
76    96       16     107      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
77    96       256    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
78    96       96     76       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
79    96       272    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
80    96       32     75       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
81    96       288    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
82    96       128    76       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
83    96       304    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
84    96       48     75       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
85    96       320    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
88    96       80     75       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
92    96       96     107      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
96    96       288    107      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
104   96       400    43       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
128   96       576    72       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
192   96       896    43       OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
256   96       1280   104      OK       PASS     [0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 26, 27, 29, 32, 33, 41]
