fadd (32, 6, '09011c0500c0', 0)
bytes=09011c0500c0  byte+1=0x01 srcA r0  byte+4=0x00 bit39=0
orig: out should be 7+100=107 at R=srcA
R=58  OK           out=100.0 =0+y (uninit reg -> 0)
R=59  OK           out=100.0 =0+y (uninit reg -> 0)
R=60  OK           out=100.0 =0+y (uninit reg -> 0)
R=61  OK           out=100.0 =0+y (uninit reg -> 0)
R=62  OK           out=100.0 =0+y (uninit reg -> 0)
R=63  OK           out=100.0 =0+y (uninit reg -> 0)
R=64  OK           out=107.0 =x+y (orig srcA reg)
R=65  OK           out=100.0 =0+y (uninit reg -> 0)
R=66  OK           out=200.0 content=100.00000 (minifloat? )
R=67  OK           out=100.0 =0+y (uninit reg -> 0)
R=68  OK           out=100.0 =0+y (uninit reg -> 0)
R=69  OK           out=100.0 =0+y (uninit reg -> 0)
R=70  OK           out=100.0 =0+y (uninit reg -> 0)
R=71  OK           out=100.0 =0+y (uninit reg -> 0)
R=90  OK           out=100.0 =0+y (uninit reg -> 0)
R=91  OK           out=100.0 =0+y (uninit reg -> 0)
R=92  OK           out=100.0 =0+y (uninit reg -> 0)
R=93  OK           out=100.0 =0+y (uninit reg -> 0)
R=94  OK           out=100.0 =0+y (uninit reg -> 0)
R=95  OK           out=100.0 =0+y (uninit reg -> 0)
R=96  OK           out=100.0 =0+y (uninit reg -> 0)
R=97  OK           out=100.0 =0+y (uninit reg -> 0)
R=98  OK           out=100.0 =0+y (uninit reg -> 0)
R=99  OK           out=100.0 =0+y (uninit reg -> 0)
R=100 OK           out=100.0 =0+y (uninit reg -> 0)
R=101 OK           out=100.0 =0+y (uninit reg -> 0)
R=102 OK           out=100.0 =0+y (uninit reg -> 0)
R=103 OK           out=100.0 =0+y (uninit reg -> 0)
R=110 OK           out=100.0 =0+y (uninit reg -> 0)
R=120 OK           out=100.0 =0+y (uninit reg -> 0)
R=127 OK           out=100.0 =0+y (uninit reg -> 0)
