K     float f0/scr     half f0/scr      ratio h/f
8     13/0             8/0              0.615   
16    23/0             14/0             0.609   
24    33/0             20/0             0.606   
32    43/0             26/0             0.605   
40    53/0             32/0             0.604   
48    63/0             38/0             0.603   
56    73/0             44/0             0.603   
64    83/0             50/0             0.602   
72    93/0             56/0             0.602   
80    96/32            62/0             0.646   
96    96/288           74/0             0.771   
128   96/576           96/16            1.000   
160   96/768           96/112           1.000   
190   96/1136          96/576           1.000   
