builtin                                          doc    obs    verdict
thread_position_in_grid.x                        0xa0   0xa0   CONFIRM
thread_position_in_grid.y                        0xa1   0xa1   CONFIRM
thread_position_in_grid.z                        0xa2   0xa2   CONFIRM
thread_position_in_threadgroup.x                 0xa4   0xa4   CONFIRM
thread_position_in_threadgroup.y                 0xa5   0xa5   CONFIRM
thread_position_in_threadgroup.z                 0xa6   0xa6   CONFIRM
thread_index_in_threadgroup                      0xa7   0xa7   CONFIRM
threadgroup_position_in_grid.x                   0x9c   0x9c   CONFIRM
threadgroup_position_in_grid.y                   0x9d   0x9d   CONFIRM
threadgroup_position_in_grid.z                   0x9e   0x9e   CONFIRM
threads_per_threadgroup.x                        0x98   0x98   CONFIRM
threads_per_threadgroup.y                        0x99   0x99   CONFIRM
threads_per_threadgroup.z                        0x9a   0x9a   CONFIRM
threadgroups_per_grid.x                          0xa8   0xa8   CONFIRM
threadgroups_per_grid.y                          0xa9   0xa9   CONFIRM
threadgroups_per_grid.z                          0xaa   0xaa   CONFIRM
simd_lane_id (thread_index_in_simdgroup)         0x82   0x82   CONFIRM
simd_group_id (simdgroup_index_in_threadgroup)   0x85   0x85   CONFIRM
threads_per_simdgroup                            folded none   FOLDED/computed (no get_sr) -- MAIN=0c20e7005400000000001100009000000e000000
