threads_per_tg         0x98 grid=256  tg=64  -> out[0:8]=[64, 64, 64, 64, 64, 64, 64, 64] allsame=True (expect tptg=64, tgpg=4)
threads_per_tg         0x98 grid=128  tg=32  -> out[0:8]=[32, 32, 32, 32, 32, 32, 32, 32] allsame=True (expect tptg=32, tgpg=4)
threads_per_tg         0x98 grid=192  tg=64  -> out[0:8]=[64, 64, 64, 64, 64, 64, 64, 64] allsame=True (expect tptg=64, tgpg=3)
threadgroups_per_grid  0xa8 grid=256  tg=64  -> out[0:8]=[64, 64, 64, 64, 64, 64, 64, 64] allsame=True (expect tptg=64, tgpg=4)
threadgroups_per_grid  0xa8 grid=128  tg=32  -> out[0:8]=[32, 32, 32, 32, 32, 32, 32, 32] allsame=True (expect tptg=32, tgpg=4)
threadgroups_per_grid  0xa8 grid=192  tg=64  -> out[0:8]=[64, 64, 64, 64, 64, 64, 64, 64] allsame=True (expect tptg=64, tgpg=3)
tptg.y                 0x99 grid=256  tg=64  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=64, tgpg=4)
tptg.y                 0x99 grid=128  tg=32  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=32, tgpg=4)
tptg.y                 0x99 grid=192  tg=64  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=64, tgpg=3)
tgpg.y                 0xa9 grid=256  tg=64  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=64, tgpg=4)
tgpg.y                 0xa9 grid=128  tg=32  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=32, tgpg=4)
tgpg.y                 0xa9 grid=192  tg=64  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=64, tgpg=3)
tptg.z                 0x9a grid=256  tg=64  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=64, tgpg=4)
tptg.z                 0x9a grid=128  tg=32  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=32, tgpg=4)
tptg.z                 0x9a grid=192  tg=64  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=64, tgpg=3)
tgpg.z                 0xaa grid=256  tg=64  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=64, tgpg=4)
tgpg.z                 0xaa grid=128  tg=32  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=32, tgpg=4)
tgpg.z                 0xaa grid=192  tg=64  -> out[0:8]=[1, 1, 1, 1, 1, 1, 1, 1] allsame=True (expect tptg=64, tgpg=3)
